Contigs/genes number,CA_2to10DPI_align_un.txt,CA_2to10DPI_align_mult.txt,CA_11to28DPI_align_un.txt,CA_11to28DPI_align_mult.txt,CA_root_align_un.txt,CA_root_align_mult.txt
CONTIG1,1,1,11,13,1,1
CONTIG2,2,2,9,9,6,6
CONTIG3,7,7,9,9,0,0
CONTIG4,2,2,11,11,1,1
CONTIG5,0,0,1,1,0,0
CONTIG6,20,24,10,10,5,5
CONTIG7,2,2,2,2,1,1
CONTIG8,7,7,5,5,8,10
CONTIG9,0,0,1,1,0,0
CONTIG10,1,1,1,1,0,0
CONTIG11,8,8,6,6,2,6
CONTIG12,3,3,3,3,6,6
CONTIG13,1,1,2,2,0,0
CONTIG14,0,0,1,1,0,0
CONTIG15,0,0,6,6,11,11
CONTIG16,0,0,1,1,0,4
CONTIG17,42,44,34,34,19,19
CONTIG18,8,8,1,1,13,13
CONTIG19,0,0,0,0,0,0
CONTIG20,16,16,7,7,25,25
CONTIG21,7,7,2,4,0,0
CONTIG22,11,11,7,7,4,4
CONTIG23,18,18,13,13,22,24
CONTIG24,0,0,1,1,0,0
CONTIG25,1,1,0,0,0,0
CONTIG26,0,0,5,5,0,0
CONTIG27,0,0,1,1,1,1
CONTIG28,1,1,1,1,0,0
CONTIG29,4,4,0,0,0,0
CONTIG30,0,0,3,3,0,0
CONTIG31,1,1,0,0,1,1
CONTIG32,0,0,0,0,0,0
CONTIG33,0,0,0,0,0,0
CONTIG34,0,0,0,0,0,0
CONTIG35,0,0,0,0,0,0
CONTIG36,3,3,5,5,3,3
CONTIG37,4,4,2,2,0,0
CONTIG38,0,0,0,0,0,0
CONTIG39,0,0,0,0,0,0
CONTIG40,1,1,5,5,0,0
CONTIG41,6,6,8,8,5,5
CONTIG42,1,3,1,1,3,3
CONTIG43,4,4,3,3,2,2
CONTIG44,1,1,1,1,1,1
CONTIG45,0,0,0,0,0,0
CONTIG46,0,0,2,2,3,3
CONTIG47,6,6,1,1,6,6
CONTIG48,1,3,7,7,0,0
CONTIG49,7,7,3,3,4,4
CONTIG50,7,7,16,16,3,7
CONTIG51,0,0,0,0,0,0
CONTIG52,10,10,2,2,5,5
CONTIG53,1,1,0,0,0,0
CONTIG54,15,17,9,9,18,18
CONTIG55,0,0,0,0,0,0
CONTIG56,0,0,0,0,0,0
CONTIG57,31,33,11,15,37,37
CONTIG58,10,12,6,6,13,13
CONTIG59,11,11,11,11,20,20
CONTIG60,3,3,3,3,1,1
CONTIG61,10,10,6,6,3,3
CONTIG62,6,6,3,3,3,3
CONTIG63,19,19,17,17,28,28
CONTIG64,0,0,0,0,0,0
CONTIG65,0,0,0,0,0,0
CONTIG66,0,0,0,0,0,0
CONTIG67,1,1,12,12,15,15
CONTIG68,2,2,1,1,1,1
CONTIG69,0,0,0,0,0,0
CONTIG70,0,0,2,2,0,0
CONTIG71,0,0,0,0,0,0
CONTIG72,2,2,11,11,1,1
CONTIG73,75,75,18,18,61,61
CONTIG74,0,0,0,0,0,0
CONTIG75,0,0,0,0,0,0
CONTIG76,0,0,0,0,0,0
CONTIG77,0,0,2,2,0,0
CONTIG78,3,5,20,20,2,2
CONTIG79,0,0,5,5,0,0
CONTIG80,6,6,4,4,7,7
CONTIG81,0,0,0,0,1,1
CONTIG82,1,1,1,1,0,0
CONTIG83,1,1,2,2,11,11
CONTIG84,0,0,0,0,0,0
CONTIG85,0,0,0,0,0,0
CONTIG86,4,4,4,6,1,1
CONTIG87,3,5,5,5,3,3
CONTIG88,0,0,0,0,0,0
CONTIG89,3,5,3,3,5,5
CONTIG90,2,10,0,0,2,2
CONTIG91,0,0,0,0,0,0
CONTIG92,0,0,0,0,0,0
CONTIG93,0,0,0,0,0,0
CONTIG94,0,0,0,0,0,0
CONTIG95,0,0,0,0,0,0
CONTIG96,0,0,0,0,0,0
CONTIG97,0,0,0,0,0,0
CONTIG98,1,1,1,1,3,3
CONTIG99,8,8,5,7,4,4
CONTIG100,1,1,0,0,11,13
CONTIG101,2,2,8,8,7,7
CONTIG102,0,0,1,1,0,0
CONTIG103,16,20,50,56,15,15
CONTIG104,0,0,4,4,0,0
CONTIG105,1,1,4,4,0,0
CONTIG106,0,0,0,0,0,0
CONTIG107,3,3,26,26,18,20
CONTIG108,4,4,7,7,1,1
CONTIG109,0,0,0,0,1,1
CONTIG110,0,0,0,0,0,0
CONTIG111,18,18,0,2,4,4
CONTIG112,1,1,0,0,0,0
CONTIG113,1,1,0,2,3,3
CONTIG114,2,2,1,1,1,1
CONTIG115,0,0,0,0,0,0
CONTIG116,0,0,2,2,1,1
CONTIG117,2,2,1,1,0,0
CONTIG118,0,0,15,17,1,1
CONTIG119,2,2,4,4,0,0
CONTIG120,0,0,2,2,0,0
CONTIG121,17,17,40,40,17,17
CONTIG122,36,38,21,21,38,38
CONTIG123,1,1,37,43,5,5
CONTIG124,1,1,1,1,0,0
CONTIG125,20,20,11,11,21,21
CONTIG126,31,31,75,75,53,53
CONTIG127,1,1,0,0,0,0
CONTIG128,1,1,5,5,0,0
CONTIG129,5,5,1,1,1,1
CONTIG130,0,0,0,0,0,0
CONTIG131,1,1,2,2,5,5
CONTIG132,5,5,7,7,3,3
CONTIG133,4,4,0,0,2,2
CONTIG134,123,129,68,70,86,88
CONTIG135,1,1,1,1,0,0
CONTIG136,1,1,0,0,3,3
CONTIG137,0,0,1,1,0,0
CONTIG138,0,0,17,25,0,0
CONTIG139,0,0,0,0,0,0
CONTIG140,0,0,3,3,0,0
CONTIG141,2,2,2,2,0,0
CONTIG142,0,0,0,0,0,0
CONTIG143,0,0,0,0,1,1
CONTIG144,0,0,0,0,0,0
CONTIG145,0,0,0,0,1,1
CONTIG146,5,5,13,13,2,2
CONTIG147,0,0,2,2,1,1
CONTIG148,1,1,7,7,2,2
CONTIG149,3,3,0,0,0,0
CONTIG150,1,1,2,2,0,0
CONTIG151,3,5,9,9,3,5
CONTIG152,0,0,5,9,0,0
CONTIG153,2,2,3,3,2,2
CONTIG154,4,8,2,2,0,0
CONTIG155,2,2,0,0,1,1
CONTIG156,0,0,0,0,0,0
CONTIG157,4,4,11,13,3,3
CONTIG158,16,16,8,8,12,12
CONTIG159,20,22,44,50,14,14
CONTIG160,4,4,6,6,1,1
CONTIG161,7,9,9,9,6,6
CONTIG162,20,20,40,42,44,46
CONTIG163,10,10,10,10,8,8
CONTIG164,0,0,0,0,0,0
CONTIG165,1,5,0,4,0,4
CONTIG166,1,1,9,9,3,3
CONTIG167,2,2,1,1,0,0
CONTIG168,10,12,8,8,14,16
CONTIG169,1,1,0,0,0,0
CONTIG170,2,2,33,35,1,1
CONTIG171,1,3,1,1,1,1
CONTIG172,6,6,8,8,9,9
CONTIG173,0,0,21,27,0,0
CONTIG174,0,0,3,3,1,1
CONTIG175,19,19,23,23,39,41
CONTIG176,1,1,3,3,0,0
CONTIG177,1,1,2,4,1,1
CONTIG178,94,98,126,126,140,142
CONTIG179,11,11,2,2,6,6
CONTIG180,0,0,0,0,0,0
CONTIG181,0,0,1,1,0,0
CONTIG182,17,17,11,11,7,7
CONTIG183,69,73,45,47,49,49
CONTIG184,36,36,28,28,12,12
CONTIG185,0,0,0,0,0,0
CONTIG186,0,0,0,0,0,0
CONTIG187,2,2,4,4,2,2
CONTIG188,4,4,2,2,3,3
CONTIG189,17,17,10,12,12,12
CONTIG190,0,0,2,2,2,2
CONTIG191,1,1,7,7,1,1
CONTIG192,0,0,1,1,1,1
CONTIG193,96,102,64,68,102,104
CONTIG194,1,1,0,0,0,0
CONTIG195,1,1,2,2,0,0
CONTIG196,2,2,0,0,1,1
CONTIG197,2,2,5,7,1,1
CONTIG198,0,0,4,4,1,1
CONTIG199,0,0,1,1,0,0
CONTIG200,0,0,4,4,0,0
CONTIG201,0,0,1,1,0,0
CONTIG202,5,5,10,10,1,1
CONTIG203,0,0,0,0,0,0
CONTIG204,23,23,27,27,34,34
CONTIG205,46,46,32,32,27,29
CONTIG206,1,1,0,0,3,3
CONTIG207,0,0,1,1,0,0
CONTIG208,1,1,4,4,0,0
CONTIG209,1,1,2,2,6,6
CONTIG210,1,1,0,0,0,0
CONTIG211,3,3,0,0,1,1
CONTIG212,2,2,0,0,0,0
CONTIG213,6,6,9,9,3,3
CONTIG214,17,17,3,3,5,5
CONTIG215,1,1,1,1,1,3
CONTIG216,1,1,1,1,5,5
CONTIG217,38,38,120,124,60,62
CONTIG218,13,15,44,44,3,3
CONTIG219,3,3,6,6,5,5
CONTIG220,0,0,0,0,1,3
CONTIG221,1,1,1,1,2,2
CONTIG222,0,0,2,2,0,0
CONTIG223,6,6,6,6,1,1
CONTIG224,12,12,1,1,8,8
CONTIG225,14,14,37,37,3,3
CONTIG226,0,0,0,0,0,0
CONTIG227,2,2,0,0,0,0
CONTIG228,0,0,2,2,1,1
CONTIG229,0,0,0,0,1,1
CONTIG230,0,0,0,0,0,0
CONTIG231,0,0,1,1,0,0
CONTIG232,0,0,0,0,0,0
CONTIG233,0,0,0,0,1,1
CONTIG234,1,1,1,1,0,0
CONTIG235,24,30,16,20,18,22
CONTIG236,2,2,3,3,4,4
CONTIG237,3,3,7,7,0,0
CONTIG238,0,0,0,0,0,0
CONTIG239,0,0,0,0,0,0
CONTIG240,2,2,0,2,8,10
CONTIG241,1,1,3,3,0,0
CONTIG242,0,0,1,1,0,0
CONTIG243,1,1,1,1,1,1
CONTIG244,0,0,3,3,0,2
CONTIG245,3,3,5,5,4,6
CONTIG246,0,0,0,0,0,0
CONTIG247,6,6,5,5,4,4
