Geneid,nodule_al_uniq,root_al_uniq,nodule_almult,root_almult
gene:GLYMA_01G000100,2,1,11,10
gene:GLYMA_01G000200,2,9,58,71
gene:GLYMA_01G000300,0,0,57,42
gene:GLYMA_01G000400,25,31,69,94
gene:GLYMA_01G000500,0,0,0,0
gene:GLYMA_01G000600,30,52,81,107
gene:GLYMA_01G000700,7,14,13,23
gene:GLYMA_01G000800,0,0,2,8
gene:GLYMA_01G000900,40,85,54,152
gene:GLYMA_01G001000,85,123,98,136
gene:GLYMA_01G001100,31,59,53,83
gene:GLYMA_01G001200,21,52,21,52
gene:GLYMA_01G001300,314,328,345,352
gene:GLYMA_01G001400,0,0,5,5
gene:GLYMA_01G001500,0,210,0,221
gene:GLYMA_01G001600,24,20,62,62
gene:GLYMA_01G001700,5,22,9,29
gene:GLYMA_01G001800,0,1,0,1
gene:GLYMA_01G001900,3,11,3,12
gene:GLYMA_01G002000,0,1,0,1
gene:GLYMA_01G002100,66,180,145,315
gene:GLYMA_01G002200,14,60,24,85
gene:GLYMA_01G002300,4,56,12,103
gene:GLYMA_01G002400,56,158,73,225
gene:GLYMA_01G002500,1,0,2,0
gene:GLYMA_01G002600,696,157,758,176
gene:GLYMA_01G002700,29,30,37,34
gene:GLYMA_01G002800,1,0,3,1
gene:GLYMA_01G002900,0,0,0,2
gene:GLYMA_01G003000,21,50,37,79
gene:GLYMA_01G003100,4,6,8,16
gene:GLYMA_01G003200,12,4,15,5
gene:GLYMA_01G003300,0,0,38,0
gene:GLYMA_01G003400,5,1,12,7
gene:GLYMA_01G003500,0,0,1,16
gene:GLYMA_01G003600,39,31,61,41
gene:GLYMA_01G003700,124,179,131,213
gene:GLYMA_01G003800,54,50,87,127
gene:GLYMA_01G003900,0,3,1,5
gene:GLYMA_01G004000,0,9,6,23
gene:GLYMA_01G004100,62,93,119,197
gene:GLYMA_01G004200,24,11,26,12
gene:GLYMA_01G004300,875,666,1709,1425
gene:GLYMA_01G004400,4,2,9,2
gene:GLYMA_01G004500,160,266,477,696
gene:GLYMA_01G004600,38,214,57,412
gene:GLYMA_01G004700,13,18,15,19
gene:GLYMA_01G004800,29,36,45,93
gene:GLYMA_01G004900,7,0,7,0
gene:GLYMA_01G005000,929,221,1019,243
gene:GLYMA_01G005100,29,3,29,5
gene:GLYMA_01G005200,12,3,28,15
gene:GLYMA_01G005300,97,81,165,269
gene:GLYMA_01G005400,142,61,776,548
gene:GLYMA_01G005500,5,22,6,47
gene:GLYMA_01G005600,5,9,14,11
gene:GLYMA_01G005700,2,0,7,8
gene:GLYMA_01G005800,9,20,11,33
gene:GLYMA_01G005900,0,0,0,0
gene:GLYMA_01G006000,11,11,15,16
gene:GLYMA_01G006100,88,54,160,97
gene:GLYMA_01G006200,355,341,491,459
gene:GLYMA_01G006300,0,0,0,0
gene:GLYMA_01G006400,140,223,272,338
gene:GLYMA_01G006500,22,27,94,117
gene:GLYMA_01G006600,30,55,65,98
gene:GLYMA_01G0067002,38,53,38,53
gene:GLYMA_01G0067001,136,150,136,150
gene:GLYMA_01G006800,24,75,89,114
gene:GLYMA_01G006900,497,391,639,495
gene:GLYMA_01G007000,35,3,45,6
gene:GLYMA_01G007100,3,63,5,73
gene:GLYMA_01G007200,167,241,269,346
gene:GLYMA_01G007300,20,163,66,223
gene:GLYMA_01G007400,26,36,29,44
gene:GLYMA_01G007500,0,12,2,19
gene:GLYMA_01G007600,0,0,0,0
gene:GLYMA_01G007700,333,138,484,214
gene:GLYMA_01G007800,64,102,65,109
gene:GLYMA_01G007900,0,0,1,3
gene:GLYMA_01G008000,97,40,123,60
gene:GLYMA_01G008100,0,8,0,49
gene:GLYMA_01G008200,0,24,0,64
gene:GLYMA_01G008300,0,0,0,0
gene:GLYMA_01G008400,62,80,76,129
gene:GLYMA_01G008500,508,1904,710,3515
gene:GLYMA_01G008600,766,745,913,902
gene:GLYMA_01G008700,1522,36,1558,36
gene:GLYMA_01G008800,153,138,166,159
gene:GLYMA_01G008900,73,114,135,216
gene:GLYMA_01G009000,1,30,6,35
gene:GLYMA_01G009100,0,0,0,4
gene:GLYMA_01G009200,32,261,32,261
gene:GLYMA_01G009300,173,217,293,470
gene:GLYMA_01G009400,123,77,156,118
gene:GLYMA_01G009500,0,3,0,41
gene:GLYMA_01G009600,269,43,362,58
gene:GLYMA_01G009700,1731,630,1804,637
gene:GLYMA_01G009800,89,42,97,48
gene:GLYMA_01G009900,16,28,26,34
gene:GLYMA_01G010000,40,20,50,23
gene:GLYMA_01G010100,196,89,372,163
gene:GLYMA_01G010200,0,0,0,0
gene:GLYMA_01G010300,76,280,111,407
gene:GLYMA_01G010400,273,171,407,262
gene:GLYMA_01G010500,48,30,76,60
gene:GLYMA_01G010600,98,115,119,133
gene:GLYMA_01G010700,0,13,1,19
gene:GLYMA_01G010800,21,26,31,36
gene:GLYMA_01G010900,55,81,84,124
gene:GLYMA_01G011000,1,25,2,48
gene:GLYMA_01G011100,116,138,215,281
gene:GLYMA_01G011200,63,137,150,274
gene:GLYMA_01G011300,0,0,1,15
gene:GLYMA_01G011400,16,8,33,15
gene:GLYMA_01G011500,0,7,0,17
gene:GLYMA_01G011600,0,2,2,13
gene:GLYMA_01G011700,2,5,5,20
gene:GLYMA_01G011800,0,0,0,5
gene:GLYMA_01G011900,8,28,15,52
gene:GLYMA_01G012000,0,4,5,15
gene:GLYMA_01G012100,0,2,0,10
gene:GLYMA_01G012200,0,3,4,15
gene:GLYMA_01G012300,1,4,15,19
gene:GLYMA_01G012400,22,32,28,38
gene:GLYMA_01G012500,381,480,921,1127
gene:GLYMA_01G012600,0,0,0,0
gene:GLYMA_01G012700,0,0,9,22
gene:GLYMA_01G012800,0,1,2,8
gene:GLYMA_01G012900,0,0,1,1
gene:GLYMA_01G013000,0,0,5,18
gene:GLYMA_01G013100,2,15,8,26
gene:GLYMA_01G013200,0,77,1,89
gene:GLYMA_01G013300,0,147,0,156
gene:GLYMA_01G013400,0,0,0,0
gene:GLYMA_01G013500,0,0,1,0
gene:GLYMA_01G013600,79,55,169,125
gene:GLYMA_01G013700,0,2,1,2
gene:GLYMA_01G013800,98,77,168,134
gene:GLYMA_01G013900,3,88,5,162
gene:GLYMA_01G014000,32,77,42,108
gene:GLYMA_01G014100,0,31,0,67
gene:GLYMA_01G014200,20,27,26,37
gene:GLYMA_01G014300,0,0,10,5
gene:GLYMA_01G014400,29,27,36,37
gene:GLYMA_01G014500,74,81,84,92
gene:GLYMA_01G014600,6,0,9,0
gene:GLYMA_01G014700,50,67,79,143
gene:GLYMA_01G0148002,12,46,16,66
gene:GLYMA_01G0148001,0,0,0,2
gene:GLYMA_01G014900,29,16,32,19
gene:GLYMA_01G015000,138,238,427,842
gene:GLYMA_01G015100,310,186,327,205
gene:GLYMA_01G015200,3,1,119,239
gene:GLYMA_01G015300,35,46,53,75
gene:GLYMA_01G015400,28,169,39,240
gene:GLYMA_01G015500,69,108,205,410
gene:ENSRNA049760919,0,0,38,1
gene:GLYMA_01G015600,41,39,59,79
gene:GLYMA_01G015700,2,8,2,11
gene:GLYMA_01G015800,0,0,0,0
gene:GLYMA_01G015900,43,68,64,124
gene:GLYMA_01G016000,0,0,0,0
gene:GLYMA_01G016100,3,6,11,9
gene:GLYMA_01G016200,16,5,19,14
gene:GLYMA_01G016300,0,0,0,0
gene:GLYMA_01G016400,8,23,19,46
gene:GLYMA_01G016500,1,4,6,17
gene:GLYMA_01G016600,2,10,3,15
gene:GLYMA_01G016700,0,0,2,6
gene:GLYMA_01G016800,43,116,81,150
gene:GLYMA_01G016900,75,98,107,130
gene:GLYMA_01G017000,74,114,83,145
gene:GLYMA_01G017100,46,260,60,417
gene:GLYMA_01G017200,0,0,0,0
gene:GLYMA_01G017300,2,5,2,11
gene:GLYMA_01G017400,5,2,8,3
gene:GLYMA_01G017500,0,0,5,8
gene:GLYMA_01G017600,0,0,7,2
gene:GLYMA_01G017700,179,606,270,1021
gene:GLYMA_01G017800,35,74,85,142
gene:GLYMA_01G017900,1090,226,1095,227
gene:GLYMA_01G018000,27,86,34,88
gene:GLYMA_01G018100,75,5012,711,6178
gene:GLYMA_01G018200,0,0,0,0
gene:GLYMA_01G018300,30,42,33,48
gene:GLYMA_01G018400,564,405,684,510
gene:GLYMA_01G018500,0,0,0,0
gene:GLYMA_01G018600,65,24,97,31
gene:GLYMA_01G018700,185,177,185,177
gene:GLYMA_01G018800,93,276,134,375
gene:GLYMA_01G018900,0,0,0,0
gene:GLYMA_01G019000,92,76,136,138
gene:GLYMA_01G019100,19,16,22,18
gene:GLYMA_01G019200,23,289,54,499
gene:GLYMA_01G019300,91,121,121,153
gene:GLYMA_01G019400,40,353,70,461
gene:GLYMA_01G019500,0,117,1,183
gene:GLYMA_01G019600,38,45,46,55
gene:GLYMA_01G019700,164,56,292,104
gene:GLYMA_01G019800,3321,2815,6311,5289
gene:GLYMA_01G019900,75,33,142,37
gene:GLYMA_01G020000,24,0,34,0
gene:GLYMA_01G020100,389,613,662,921
gene:GLYMA_01G020200,7,101,9,130
gene:GLYMA_01G020300,91,176,349,456
gene:ENSRNA049760916,0,0,8,1
gene:GLYMA_01G020400,1,2,2,2
gene:GLYMA_01G020500,1,18,10,35
gene:GLYMA_01G020600,0,0,0,0
