,Groupe,Nombre de gènes (nbG),nbG Lupinus A.,nbG Medicago T.,nbG Phaseolus V.,nbG Glycine M.,Lotus J.,,somme(D:H)
OG0000000,OG0000000,716,0,673,2,15,26,,716
OG0000001,OG0000001,328,5,16,87,165,55,,328
OG0000002,OG0000002,298,3,152,3,102,38,,298
OG0000003,OG0000003,296,0,148,18,21,109,,296
OG0000004,OG0000004,271,1,135,18,60,57,,271
OG0000005,OG0000005,257,1,11,1,211,33,,257
OG0000006,OG0000006,225,4,68,22,101,30,,225
OG0000007,OG0000007,211,1,84,5,58,63,,211
OG0000008,OG0000008,210,0,151,2,52,5,,210
OG0000009,OG0000009,204,7,57,0,131,9,,204
OG0000010,OG0000010,198,1,120,24,33,20,,198
OG0000011,OG0000011,197,0,161,16,6,14,,197
OG0000012,OG0000012,188,5,72,30,44,37,,188
OG0000013,OG0000013,172,7,72,7,23,63,,172
OG0000014,OG0000014,160,1,8,132,12,7,,160
OG0000015,OG0000015,145,3,7,6,93,36,,145
OG0000016,OG0000016,144,0,135,0,5,4,,144
OG0000017,OG0000017,140,15,25,0,94,6,,140
OG0000018,OG0000018,133,3,11,87,2,30,,133
OG0000019,OG0000019,133,1,126,0,2,4,,133
OG0000020,OG0000020,131,1,123,0,3,4,,131
OG0000021,OG0000021,131,1,126,0,1,3,,131
OG0000022,OG0000022,128,4,83,5,33,3,,128
OG0000023,OG0000023,128,9,37,29,34,19,,128
OG0000024,OG0000024,126,1,97,1,2,25,,126
OG0000025,OG0000025,126,2,38,44,22,20,,126
OG0000026,OG0000026,125,1,38,1,38,47,,125
OG0000027,OG0000027,124,2,11,1,41,69,,124
OG0000028,OG0000028,122,1,42,1,2,76,,122
OG0000029,OG0000029,120,2,87,4,11,16,,120
OG0000030,OG0000030,120,0,113,1,3,3,,120
OG0000031,OG0000031,114,2,22,24,11,55,,114
OG0000032,OG0000032,113,0,24,0,73,16,,113
OG0000033,OG0000033,105,0,5,0,96,4,,105
OG0000034,OG0000034,103,2,60,7,14,20,,103
OG0000035,OG0000035,100,1,58,18,4,19,,100
OG0000036,OG0000036,99,1,71,21,6,0,,99
OG0000037,OG0000037,99,5,71,3,3,17,,99
OG0000038,OG0000038,99,1,4,0,1,93,,99
OG0000039,OG0000039,97,2,58,3,13,21,,97
OG0000040,OG0000040,96,0,94,1,1,0,,96
OG0000041,OG0000041,96,0,92,0,0,4,,96
OG0000042,OG0000042,95,4,7,10,58,16,,95
OG0000043,OG0000043,94,3,36,22,15,18,,94
OG0000044,OG0000044,91,1,15,7,6,62,,91
OG0000045,OG0000045,90,0,80,0,3,7,,90
OG0000046,OG0000046,90,3,17,58,11,1,,90
OG0000047,OG0000047,90,3,58,3,4,22,,90
OG0000048,OG0000048,89,4,16,16,27,26,,89
OG0000049,OG0000049,89,0,63,1,7,18,,89
OG0000050,OG0000050,88,0,87,0,0,1,,88
OG0000051,OG0000051,87,7,27,22,20,11,,87
OG0000052,OG0000052,86,10,18,17,24,17,,86
OG0000053,OG0000053,85,9,18,16,36,6,,85
OG0000054,OG0000054,85,0,80,0,3,2,,85
OG0000055,OG0000055,84,2,8,12,57,5,,84
OG0000056,OG0000056,84,0,53,21,4,6,,84
OG0000057,OG0000057,84,3,27,26,8,20,,84
OG0000058,OG0000058,84,0,32,23,13,16,,84
OG0000059,OG0000059,82,1,5,1,7,68,,82
OG0000060,OG0000060,81,1,34,24,20,2,,81
OG0000061,OG0000061,81,4,0,63,5,9,,81
OG0000062,OG0000062,80,3,18,0,17,42,,80
OG0000063,OG0000063,79,1,0,0,70,8,,79
OG0000064,OG0000064,79,2,66,0,2,9,,79
OG0000065,OG0000065,78,0,66,4,1,7,,78
OG0000066,OG0000066,77,0,3,6,63,5,,77
OG0000067,OG0000067,77,0,34,1,41,1,,77
OG0000068,OG0000068,77,0,52,0,1,24,,77
OG0000069,OG0000069,77,0,73,0,0,4,,77
OG0000070,OG0000070,76,0,66,1,2,7,,76
OG0000071,OG0000071,76,7,25,12,14,18,,76
OG0000072,OG0000072,75,0,15,2,43,15,,75
OG0000073,OG0000073,75,6,18,16,20,15,,75
OG0000074,OG0000074,75,1,3,3,60,8,,75
OG0000075,OG0000075,75,0,72,0,0,3,,75
OG0000076,OG0000076,73,0,0,0,71,2,,73
OG0000077,OG0000077,73,3,23,8,14,25,,73
OG0000078,OG0000078,73,1,34,5,6,27,,73
OG0000079,OG0000079,73,1,21,14,32,5,,73
OG0000080,OG0000080,72,0,12,6,33,21,,72
OG0000081,OG0000081,68,6,26,16,16,4,,68
OG0000082,OG0000082,68,5,25,8,19,11,,68
OG0000083,OG0000083,67,2,24,37,2,2,,67
OG0000084,OG0000084,66,7,11,13,28,7,,66
OG0000085,OG0000085,65,10,12,14,17,12,,65
OG0000086,OG0000086,65,5,19,13,19,9,,65
OG0000087,OG0000087,64,2,13,12,28,9,,64
OG0000088,OG0000088,64,4,23,12,16,9,,64
OG0000089,OG0000089,64,3,10,10,36,5,,64
OG0000090,OG0000090,64,0,62,0,0,2,,64
OG0000091,OG0000091,63,0,61,1,0,1,,63
OG0000092,OG0000092,62,0,1,10,51,0,,62
OG0000093,OG0000093,61,1,26,12,10,12,,61
OG0000094,OG0000094,60,0,2,1,54,3,,60
OG0000095,OG0000095,60,1,28,9,6,16,,60
OG0000096,OG0000096,59,0,42,0,3,14,,59
OG0000097,OG0000097,59,4,31,11,8,5,,59
OG0000098,OG0000098,59,7,7,9,23,13,,59
OG0000099,OG0000099,59,0,49,1,3,6,,59
OG0000100,OG0000100,58,0,11,11,31,5,,58
OG0000101,OG0000101,58,1,43,8,1,5,,58
OG0000102,OG0000102,58,0,22,0,35,1,,58
OG0000103,OG0000103,58,4,0,29,14,11,,58
