Contigs/genes number,root_al_uniq,root_al_mult,nodule_al_uniq,nodule_al_mult
PsCam000001,8026,8030,13288,13288
PsCam000002,0,0,0,0
PsCam000003,0,0,0,0
PsCam000004,0,0,0,0
PsCam000005,2284,2330,1500,1594
PsCam000006,5554,5558,6480,6488
PsCam000007,338,2286,800,3970
PsCam000008,5174,5182,9704,9728
PsCam000009,0,0,0,0
PsCam000010,94,94,404,404
PsCam000011,256,4928,66,4012
PsCam000012,492,520,254,282
PsCam000013,6416,6416,15142,15150
PsCam000014,2960,2992,4896,4972
PsCam000015,49880,49890,34274,34280
PsCam000016,3946,3946,4904,4912
PsCam000017,564,564,430,430
PsCam000018,14566,14566,11216,11220
PsCam000019,3226,3238,6172,6184
PsCam000020,3304,3304,4352,4356
PsCam000021,2052,2182,1896,2162
PsCam000022,86,86,82,82
PsCam000023,0,0,0,0
PsCam000024,714,714,1216,1216
PsCam000025,260,290,32,46
PsCam000026,1952,1956,1052,1056
PsCam000027,3802,3802,6216,6220
PsCam000028,8,8,72,72
PsCam000029,10362,10362,12052,12064
PsCam000030,2090,2090,1990,1994
PsCam000031,222,582,196,676
PsCam000032,408,536,424,664
PsCam000033,5732,5732,7960,7972
PsCam000034,22,22,36,36
PsCam000035,4750,4766,8388,8396
PsCam000036,60,60,862,862
PsCam000037,392,398,590,612
PsCam000038,428,2560,190,1748
PsCam000039,2276,2280,1894,1894
PsCam000040,540,540,1170,1174
PsCam000041,0,0,0,0
PsCam000042,6314,6322,14146,14156
PsCam000043,2920,2940,7094,7158
PsCam000044,4028,4032,7804,7804
PsCam000045,4644,4652,3110,3110
PsCam000046,6094,6094,8152,8160
PsCam000047,4,88,30,166
PsCam000048,3130,3146,4606,4642
PsCam000049,3058,3058,3304,3304
PsCam000050,0,0,0,0
PsCam000051,370,3870,526,3638
PsCam000052,2616,2616,2772,2772
PsCam000053,0,0,0,0
PsCam000054,6486,6486,9308,9308
PsCam000055,0,0,0,0
PsCam000056,154,154,322,322
PsCam000057,1770,1770,2054,2054
PsCam000058,746,746,810,810
PsCam000059,9016,9016,15798,15802
PsCam000060,3744,3748,2558,2558
PsCam000061,0,0,0,0
PsCam000062,1434,1438,1850,1854
PsCam000063,298,556,354,532
PsCam000064,544,544,1120,1128
PsCam000065,3660,3668,2740,2740
PsCam000066,6034,9456,7110,13780
PsCam000067,2146,2150,1050,1050
PsCam000068,6566,6570,3188,3192
PsCam000069,5618,5618,284,284
PsCam000070,52314,52456,64034,64314
PsCam000071,128,128,274,274
PsCam000072,1520,1520,3006,3006
PsCam000073,0,0,0,0
PsCam000074,0,0,0,0
PsCam000075,970,970,992,1000
PsCam000076,4150,4150,2400,2404
PsCam000077,5104,5108,1496,1496
PsCam000078,904,904,292,292
PsCam000079,70,74,180,204
PsCam000080,0,0,0,0
PsCam000081,2390,2396,1180,1190
PsCam000082,428,428,2468,2468
PsCam000083,360,360,626,626
PsCam000084,5558,5558,3088,3088
PsCam000085,3592,4290,1476,1766
PsCam000086,76,76,32,32
PsCam000087,1514,1514,172,172
PsCam000088,4318,4318,3606,3610
PsCam000089,952,1026,432,482
PsCam000090,0,0,0,0
PsCam000091,966,966,1116,1116
PsCam000092,1366,1366,1042,1042
PsCam000093,92,198,434,784
PsCam000094,4366,4370,6420,6424
PsCam000095,8976,8980,9202,9206
PsCam000096,296,296,296,296
PsCam000097,4718,4718,16834,16842
PsCam000098,4474,4474,1492,1492
PsCam000099,762,762,544,544
PsCam000100,9310,9310,9136,9140
PsCam000101,752,752,356,356
PsCam000102,3830,3846,4308,4320
PsCam000103,6,642,18,522
PsCam000104,1508,1508,386,386
PsCam000105,3182,3190,2566,2578
PsCam000106,4,4,8,8
PsCam000107,21764,21768,23738,23762
PsCam000108,660,676,102,106
PsCam000109,414,414,486,486
PsCam000110,0,0,0,0
