Geneid,nodule_al_uniq,root_al_uniq,nodule_almult,root_almult
gene:PHAVU_001G0001001g,54,45,139,89
gene:PHAVU_001G0001002g,12,4,88,62
gene:PHAVU_001G0002001g,0,0,0,1
gene:PHAVU_001G0002000g,0,0,0,0
gene:PHAVU_001G000300g,826,784,827,784
gene:PHAVU_001G000400g,208,76,208,76
gene:PHAVU_001G000500g,97,523,97,525
gene:PHAVU_001G000600g,19,104,20,109
gene:PHAVU_001G000700g,478,463,487,466
gene:PHAVU_001G000800g,15,12,15,12
gene:PHAVU_001G000900g,0,0,0,0
gene:PHAVU_001G001000g,2000,1348,2031,1364
gene:PHAVU_001G001100g,719,990,723,999
gene:PHAVU_001G001200g,140,121,140,121
gene:PHAVU_001G001300g,2849,6455,2996,6754
gene:PHAVU_001G0014001g,1913,1176,1919,1189
gene:PHAVU_001G0014000g,1463,861,1463,868
gene:PHAVU_001G001500g,1898,2913,1914,2951
gene:PHAVU_001G001600g,374,189,376,189
gene:PHAVU_001G001700g,225,855,238,878
gene:PHAVU_001G001800g,8,3,32,30
gene:PHAVU_001G001900g,375,267,379,269
gene:PHAVU_001G002000g,96,677,96,683
gene:PHAVU_001G002100g,2,3,2,3
gene:PHAVU_001G002200g,2541,3696,2550,3717
gene:PHAVU_001G002300g,18,16,35,30
gene:PHAVU_001G002400g,344,375,380,418
gene:PHAVU_001G002500g,0,0,0,0
gene:PHAVU_001G002600g,41,12,63,24
gene:PHAVU_001G002700g,97,68,99,68
gene:PHAVU_001G002800g,20,90,24,115
gene:PHAVU_001G002900g,6,42,6,43
gene:PHAVU_001G003000g,338,122,339,122
gene:PHAVU_001G003100g,161,132,244,200
gene:PHAVU_001G003200g,2440,3469,5792,8538
gene:PHAVU_001G003300g,13,122,17,158
gene:PHAVU_001G003400g,1,37,1,37
gene:PHAVU_001G003500g,3739,5211,3815,5293
gene:PHAVU_001G003600g,649,810,672,830
gene:PHAVU_001G003700g,29,423,29,423
gene:PHAVU_001G003800g,68,667,68,673
gene:PHAVU_001G003900g,5,11,6,11
gene:PHAVU_001G004000g,153,1570,153,1571
gene:PHAVU_001G004100g,547,521,549,523
gene:PHAVU_001G004200g,0,0,0,0
gene:PHAVU_001G004300g,0,0,1,0
gene:PHAVU_001G004400g,19,1,53,16
gene:PHAVU_001G004500g,0,0,0,0
gene:PHAVU_001G004600g,0,3,3,3
gene:PHAVU_001G004700g,1082,999,1087,1005
gene:PHAVU_001G004800g,936,954,948,970
gene:PHAVU_001G004900g,455,592,458,595
gene:PHAVU_001G005000g,1840,2032,1848,2056
gene:ENSRNA049761539,0,0,0,1
gene:PHAVU_001G005100g,19,79,19,79
gene:PHAVU_001G005200g,4364,5166,4372,5169
gene:PHAVU_001G005300g,106,86,106,87
gene:PHAVU_001G0054001g,655,674,663,675
gene:PHAVU_001G005500g,37,65,38,66
gene:PHAVU_001G005600g,361,403,841,845
gene:PHAVU_001G005700g,130,150,131,151
gene:PHAVU_001G005800g,1,17,1,17
gene:PHAVU_001G005900g,4,5,5,6
gene:PHAVU_001G006000g,842,1200,850,1207
gene:PHAVU_001G006100g,0,0,0,0
gene:PHAVU_001G006200g,0,0,0,0
gene:PHAVU_001G006300g,240,2761,259,3071
gene:PHAVU_001G006400g,0,0,14,231
gene:PHAVU_001G006500g,0,10,22,381
gene:PHAVU_001G006600g,0,1,15,248
gene:PHAVU_001G006700g,2,19,2,19
gene:PHAVU_001G006800g,25,72,31,79
gene:PHAVU_001G006900g,420,469,421,474
gene:PHAVU_001G007000g,213,358,218,358
gene:PHAVU_001G007100g,201,490,205,505
gene:PHAVU_001G007200g,233,174,238,174
gene:PHAVU_001G007300g,237,435,243,446
gene:PHAVU_001G007400g,105,84,120,94
gene:PHAVU_001G007500g,21,19,23,19
gene:PHAVU_001G007600g,247,224,254,228
gene:PHAVU_001G007700g,2440,2810,2606,3021
gene:PHAVU_001G007800g,84,730,84,733
