,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CONTIG654,"835,7938811482","13,0094105135","4,0227499069","3,2339595587","0,0012208674","0,9795895833"
CONTIG1274,"2070,427513398","14,3180899906","4,0939190739","3,4974042554","0,0004698093","0,9795895833"
CONTIG1478,"315,8048541146","11,6053271418","3,9464770627","2,9406802465","0,003274924","0,9795895833"
CONTIG1679,"304,007546346","11,5504020762","3,9435905479","2,9289050007","0,0034015837","0,9795895833"
CONTIG1811,"300,3776054941","11,5330725582","3,9426814792","2,9251849582","0,0034425155","0,9795895833"
CONTIG1828,"104,8145420984","10,014164229","3,8691037312","2,5882387563","0,009646809","0,9795895833"
CONTIG2059,"186,9419538724","10,8488996311","3,9074947533","2,776433576","0,0054958864","0,9795895833"
CONTIG2075,"164,7085661546","10,666228454","3,8985835013","2,7359240736","0,0062205377","0,9795895833"
CONTIG2129,"417,5404285261","9,5637000831","3,4529275775","2,7697366563","0,0056101632","0,9795895833"
CONTIG6419,"112,5281664087","10,1166095775","3,8735299831","2,6117287388","0,0090085701","0,9795895833"
CONTIG15140,"153,3650009924","10,5632841652","3,8936789898","2,7129314442","0,0066690902","0,9795895833"
CONTIG16809,"480,1569082213","9,7655354695","3,4651108557","2,8182461907","0,004828677","0,9795895833"
CONTIG23702,"162,8935957287","10,6502430635","3,8978160265","2,7323616587","0,0062882073","0,9795895833"
CONTIG28081,"119,334305506","10,2013306673","3,8771364546","2,6311507956","0,0085096269","0,9795895833"
CONTIG34563,"122,5105037514","10,2392265601","3,8787784347","2,6398070249","0,0082953247","0,9795895833"
CONTIG51840,"135,6690393395","10,3864098366","3,8853121123","2,6732498025","0,0075120289","0,9795895833"
CONTIG58008,"260,9992292883","8,8846965184","3,4122107347","2,6037947856","0,0092197943","0,9795895833"
CONTIG60332,"192,3868651503","10,8903187326","3,9095487751","2,7855692201","0,005343383","0,9795895833"
CONTIG60336,"139,2989801914","10,424502277","3,8870410965","2,6818605767","0,0073213966","0,9795895833"
CONTIG63278,"282,6816438411","11,4454753298","3,9380126454","2,9064089835","0,0036560324","0,9795895833"
CONTIG63374,"771,3624310271","12,8936747857","4,0164244395","3,2102371101","0,0013262552","0,9795895833"
CONTIG66696,"125,2329593903","10,2709348196","3,8801654043","2,6470353063","0,0081200875","0,9795895833"
CONTIG69827,"460,2894640944","8,7028010617","3,2363754355","2,68905794","0,0071653981","0,9795895833"
CONTIG71273,"694,8743916479","9,2981716996","3,2758349132","2,8384127852","0,0045338508","0,9795895833"
CONTIG72408,"1023,8377813506","9,8580625587","3,3124648749","2,9760504431","0,0029198683","0,9795895833"
CONTIG74119,"120,6955333254","10,2176938051","3,8778433265","2,6348908259","0,0084164349","0,9795895833"
CONTIG77127,"110,7131959827","10,0931510423","3,8725477702","2,6063335151","0,0091517302","0,9795895833"
CONTIG78053,"738,0771698227","8,7992967482","3,1858964935","2,7619531162","0,0057456728","0,9795895833"
CONTIG78054,"385,4219340241","8,4460291941","3,2194918735","2,6234044147","0,0087055869","0,9795895833"
CONTIG80297,"108,4444829503","10,0632810885","3,8710792787","2,5996060437","0,0093330837","0,9795895833"
CONTIG81414,"749,6800164743","10,408889675","3,5041477994","2,9704482433","0,0029736551","0,9795895833"
CONTIG81515,"163,3473383351","10,6542560473","3,8980084958","2,7332562406","0,0062711523","0,9795895833"
CONTIG81811,"215,0739954746","11,0511382965","3,9176277242","2,8208750485","0,0047892853","0,9795895833"
CONTIG82383,"381,6947626137","9,4340266001","3,4451172499","2,7383760598","0,0061743428","0,9795895833"
,,,,,,
min,"104,8145420984","8,4460291941","3,1858964935","2,5882387563","0,0004698093","0,9795895833"
max,"2070,427513398","14,3180899906","4,0939190739","3,4974042554","0,009646809","0,9795895833"
moy,"379,7348995907","10,4961274793","3,75025673","2,7953974528","0,0059135774","0,9795895833"
