"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CONTIG654",779.529797943833,12.9088704883945,4.01059736591471,3.21869021261135,0.00128777528250959,0.979598756807527
"CONTIG1274",1841.28749712228,14.1488810057431,4.07818206975431,3.46940886005991,0.000521605006276999,0.979598756807527
"CONTIG1478",238.21486840542,11.1985663138484,3.91848653648608,2.85788051319701,0.00426480952456668,0.979598756807527
"CONTIG1679",290.849010757856,11.4865673349138,3.93350061075804,2.92018953893088,0.00349818555132545,0.979598756807527
"CONTIG1811",244.567264896232,11.2365333907397,3.92044519466704,2.86613709229366,0.00415514263358535,0.979598756807527
"CONTIG2059",177.413359136227,10.7734260210224,3.89710450466933,2.7644693664525,0.00570154604067313,0.979598756807527
"CONTIG2075",130.677870668116,10.3323347925833,3.87620120487918,2.66558267913889,0.00768550308649786,0.979598756807527
"CONTIG2129",393.945812988828,9.47966895044502,3.44162238174069,2.75441867205967,0.00587965007551238,0.979598756807527
"CONTIG6419",109.805710769737,10.0812777436526,3.86537519889705,2.60809810818086,0.00910468551869668,0.979598756807527
"CONTIG15140",147.012604501631,10.5022565221343,3.88413846144717,2.70388314587048,0.00685343857467354,0.979598756807527
"CONTIG16809",479.249423008293,9.76280355413195,3.45870930157675,2.82267247775963,0.0047625197082627,0.979598756807527
"CONTIG23702",153.818743598929,10.5675467179732,3.88720251473262,2.71854802468404,0.00655691364463676,0.979598756807527
"CONTIG28081",119.334305505953,10.2013312548832,3.87045591387808,2.63569240468671,0.00839658077827563,0.979598756807527
"CONTIG34563",120.695533325413,10.2176943936637,3.8711625037951,2.63943825237168,0.00830435497805793,0.979598756807527
"CONTIG51840",132.039098487576,10.3472848497785,3.87686922117626,2.66897959654133,0.00760820718712398,0.979598756807527
"CONTIG58008",249.20192151963,8.81782306040744,3.40202748424574,2.59193175282722,0.00954387023161977,0.979598756807527
"CONTIG60332",188.303181691904,10.8593670481093,3.9013346480086,2.78350052683954,0.0053775775141149,0.979598756807527
"CONTIG60336",135.215296732981,10.3815773738375,3.87841060429249,2.67676077472238,0.00743376913507086,0.979598756807527
"CONTIG63278",278.144217776234,11.4221313841993,3.93011216939449,2.90631180278987,0.00365716820655862,0.979598756807527
"CONTIG63374",764.102549323291,12.8800332316288,4.00902069482509,3.21276296933428,0.00131464736906842,0.979598756807527
"CONTIG66696",119.78804811244,10.2068062821383,3.87069197224329,2.63694614692445,0.00836561113352743,0.979598756807527
"CONTIG69827",444.408472867364,8.65202328461131,3.22653838622688,2.68151878234091,0.0073288800152681,0.979598756807527
"CONTIG71273",647.231417966836,9.19553428648054,3.26260994853089,2.81845958651024,0.00482546851904603,0.979598756807527
"CONTIG72408",1005.68807709118,9.83223104697117,3.30433501713371,2.97555514074356,0.00292458767596192,0.979598756807527
"CONTIG74119",117.973077686494,10.1847803890893,3.86974455746443,2.63189991945169,0.00849088707036696,0.979598756807527
"CONTIG76646",575.08634353548,9.02472496370872,3.2513443858791,2.77569026612621,0.00550846578733501,0.979598756807527
"CONTIG77127",107.083255130818,10.0450582465769,3.86364870594246,2.599889123234,0.00932538855303498,0.979598756807527
"CONTIG78053",705.861444762129,8.7347635121312,3.17489071354863,2.75120131690083,0.00593771402458614,0.979598756807527
"CONTIG78054",374.53211146844,8.40456054987212,3.2102641149164,2.61802775379775,0.00884396116895072,0.979598756807527
"CONTIG80297",105.722027311358,10.026601681521,3.86290772801399,2.5956099362166,0.00944231908854648,0.979598756807527
"CONTIG81414",713.380607955334,10.3372343733056,3.4935978405302,2.9589079353612,0.00308731320315275,0.979598756807527
"CONTIG81515",161.532367909199,10.6381373110727,3.89055825079254,2.73434726466455,0.00625040857544469,0.979598756807527
"CONTIG81811",203.730430312445,10.9729688904032,3.90700319937793,2.80853849624445,0.00497669319965371,0.979598756807527
"CONTIG82383",335.413016752067,9.24726140649378,3.42765924717992,2.69783567724881,0.00697918816015337,0.979598756807527
