,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CONTIG654,"779,5297979438","12,9088704884","4,0105973659","3,2186902126","0,0012877753","0,9795987568"
CONTIG1274,"1841,2874971223","14,1488810057","4,0781820698","3,4694088601","0,000521605","0,9795987568"
CONTIG1478,"238,2148684054","11,1985663138","3,9184865365","2,8578805132","0,0042648095","0,9795987568"
CONTIG1679,"290,8490107579","11,4865673349","3,9335006108","2,9201895389","0,0034981856","0,9795987568"
CONTIG1811,"244,5672648962","11,2365333907","3,9204451947","2,8661370923","0,0041551426","0,9795987568"
CONTIG2059,"177,4133591362","10,773426021","3,8971045047","2,7644693665","0,005701546","0,9795987568"
CONTIG2075,"130,6778706681","10,3323347926","3,8762012049","2,6655826791","0,0076855031","0,9795987568"
CONTIG2129,"393,9458129888","9,4796689504","3,4416223817","2,7544186721","0,0058796501","0,9795987568"
CONTIG6419,"109,8057107697","10,0812777437","3,8653751989","2,6080981082","0,0091046855","0,9795987568"
CONTIG15140,"147,0126045016","10,5022565221","3,8841384614","2,7038831459","0,0068534386","0,9795987568"
CONTIG16809,"479,2494230083","9,7628035541","3,4587093016","2,8226724778","0,0047625197","0,9795987568"
CONTIG23702,"153,8187435989","10,567546718","3,8872025147","2,7185480247","0,0065569136","0,9795987568"
CONTIG28081,"119,334305506","10,2013312549","3,8704559139","2,6356924047","0,0083965808","0,9795987568"
CONTIG34563,"120,6955333254","10,2176943937","3,8711625038","2,6394382524","0,008304355","0,9795987568"
CONTIG51840,"132,0390984876","10,3472848498","3,8768692212","2,6689795965","0,0076082072","0,9795987568"
CONTIG58008,"249,2019215196","8,8178230604","3,4020274842","2,5919317528","0,0095438702","0,9795987568"
CONTIG60332,"188,3031816919","10,8593670481","3,901334648","2,7835005268","0,0053775775","0,9795987568"
CONTIG60336,"135,215296733","10,3815773738","3,8784106043","2,6767607747","0,0074337691","0,9795987568"
CONTIG63278,"278,1442177762","11,4221313842","3,9301121694","2,9063118028","0,0036571682","0,9795987568"
CONTIG63374,"764,1025493233","12,8800332316","4,0090206948","3,2127629693","0,0013146474","0,9795987568"
CONTIG66696,"119,7880481124","10,2068062821","3,8706919722","2,6369461469","0,0083656111","0,9795987568"
CONTIG69827,"444,4084728674","8,6520232846","3,2265383862","2,6815187823","0,00732888","0,9795987568"
CONTIG71273,"647,2314179668","9,1955342865","3,2626099485","2,8184595865","0,0048254685","0,9795987568"
CONTIG72408,"1005,6880770912","9,832231047","3,3043350171","2,9755551407","0,0029245877","0,9795987568"
CONTIG74119,"117,9730776865","10,1847803891","3,8697445575","2,6318999195","0,0084908871","0,9795987568"
CONTIG76646,"575,0863435355","9,0247249637","3,2513443859","2,7756902661","0,0055084658","0,9795987568"
CONTIG77127,"107,0832551308","10,0450582466","3,8636487059","2,5998891232","0,0093253886","0,9795987568"
CONTIG78053,"705,8614447621","8,7347635121","3,1748907135","2,7512013169","0,005937714","0,9795987568"
CONTIG78054,"374,5321114684","8,4045605499","3,2102641149","2,6180277538","0,0088439612","0,9795987568"
CONTIG80297,"105,7220273114","10,0266016815","3,862907728","2,5956099362","0,0094423191","0,9795987568"
CONTIG81414,"713,3806079553","10,3372343733","3,4935978405","2,9589079354","0,0030873132","0,9795987568"
CONTIG81515,"161,5323679092","10,6381373111","3,8905582508","2,7343472647","0,0062504086","0,9795987568"
CONTIG81811,"203,7304303124","10,9729688904","3,9070031994","2,8085384962","0,0049766932","0,9795987568"
CONTIG82383,"335,4130167521","9,2472614065","3,4276592472","2,6978356772","0,0069791882","0,9795987568"
,,,,,,
min,"105,7220273114","8,4045605499","3,1748907135","2,5919317528","0,000521605","0,9795987568"
max,"1841,2874971223","14,1488810057","4,0781820698","3,4694088601","0,0095438702","0,9795987568"
moy,"370,3187872654","10,3855488722","3,721375078","2,7873465917","0,0060057305","0,9795987568"
