,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:GLYMA_01G001500,"95,6958071182","-9,8154225067","3,3570676056","-2,9238084125","0,003457775",NA
gene:GLYMA_01G008700,"915,1001766656","5,8505770911","2,1144989044","2,7668858465","0,0056594568","0,1816476036"
gene:GLYMA_01G013300,"67,5499814952","-9,3129282428","3,3727977454","-2,761187876","0,0057591536",NA
gene:GLYMA_01G028500,"1300,192806215","7,2204322792","2,2815854342","3,1646556692","0,0015526658","0,0827176339"
gene:GLYMA_01G033800,"125,1406708469","-6,154763091","2,3852196052","-2,5803758604","0,0098692833","0,2596980027"
gene:GLYMA_01G043400,"149,3893821528","8,426195228","2,8505051647","2,9560357695","0,0031162095","0,1268410693"
gene:GLYMA_01G048400,"134,3782751539","-7,8563403434","2,8051632075","-2,8006713913","0,0050996419","0,1702473121"
gene:GLYMA_01G056900,"84,8704895709","10,0572678108","3,3999148899","2,9580939925","0,0030954772",NA
gene:GLYMA_01G073200,"152,5648086334","-8,0402021832","2,810672049","-2,8605977656","0,0042284316","0,1505900874"
gene:GLYMA_01G075000,"321,4397623713","9,5338973948","2,8983176601","3,2894590977","0,0010038014","0,0651041796"
gene:GLYMA_01G078300,"4106,4037896112","12,2107753268","2,8994610422","4,211394859","0,0000254","0,0133872112"
gene:GLYMA_01G083300,"329,9556788419","-6,558363376","2,2904961091","-2,8632938297","0,0041926157","0,1505900874"
gene:GLYMA_01G084200,"144,0488921628","7,36918813","2,5709008813","2,8663836026","0,0041519081","0,1503360815"
gene:GLYMA_01G095000,"1424,0344389562","10,6823300584","2,7850215919","3,8356363518","0,0001252396","0,0223012269"
gene:GLYMA_01G106700,"64,08587988","9,6520147055","3,4175203236","2,8242742666","0,0047387815",NA
gene:GLYMA_01G128000,"1644,2935666521","14,3332618648","3,5612427551","4,0247921444","0,000057","0,0154432619"
gene:GLYMA_01G128300,"125,8623586833","10,6257737783","3,392951273","3,1317201231","0,0017378546","0,0875392715"
gene:GLYMA_01G131400,"278,8601800186","11,7734532459","3,4194761309","3,4430575899","0,0005751768","0,0486990729"
gene:GLYMA_01G156900,"178,9785834488","11,133707436","3,3997040988","3,2749048483","0,0010569757","0,0670347306"
gene:GLYMA_01G171200,"133,5122497501","6,6692436865","2,4388220225","2,7346168047","0,0062452933","0,1919101016"
gene:GLYMA_01G174400,"50,8068236887","9,3170325716","3,4422464924","2,7066721085","0,0067961345",NA
gene:GLYMA_01G174500,"56,0029761114","9,4575129888","3,4306262071","2,756789116","0,0058371984",NA
gene:GLYMA_01G180900,"632,3428823299","6,2452408831","2,1826240889","2,8613451646","0,004218475","0,1505900874"
gene:GLYMA_01G194700,"1121,3585603336","5,6374174595","2,0801265426","2,7101319771","0,006725644","0,2020207113"
gene:GLYMA_01G195700,"315,3775845448","6,0270472815","2,1978871763","2,7422004853","0,0061029079","0,190643798"
gene:GLYMA_01G203400,"359,1118674359","12,1383388438","3,4360039414","3,5326906054","0,0004113536","0,0397431498"
gene:GLYMA_01G209700,"77,7979487733","7,4810652127","2,8419596827","2,6323614857","0,0084793591",NA
gene:GLYMA_01G210500,"1815,3335838995","-8,2918950318","2,4122259253","-3,4374454503","0,000587229","0,0486990729"
gene:GLYMA_01G216800,"53,1162247654","9,3811625558","3,4367062639","2,7296957713","0,0063392797",NA
gene:GLYMA_10G000500,"425,5071483928","-6,5097183475","2,2569205952","-2,8843364545","0,0039223944","0,1452626902"
gene:GLYMA_10G006700,"1784,0123317959","-7,6794068849","2,3351238048","-3,2886508498","0,0010066882","0,0651041796"
gene:GLYMA_10G007600,"7986,4862737001","16,6133074703","3,7031804276","4,4862268516","0,00000725","0,0072489977"
gene:GLYMA_10G022500,"290,5515229697","-11,4176617859","3,3884412489","-3,3695911917","0,0007527978","0,0546682584"
gene:GLYMA_10G047300,"157,6166234888","10,9503425923","3,3961070537","3,2243808629","0,0012624537","0,0739217846"
gene:GLYMA_10G047500,"665,2518476737","6,6642061301","2,2374392479","2,978497019","0,0028966585","0,1210728729"
gene:GLYMA_10G0478002,"237,2909606369","11,5405718764","3,4114936306","3,38285019","0,0007173775","0,0526846923"
gene:GLYMA_10G050800,"386,9690179243","-8,3841594787","2,6076546217","-3,2152108676","0,0013034873","0,0748034452"
gene:GLYMA_10G056200,"67,5499814952","9,727962991","3,413273705","2,8500389455","0,0043713876",NA
gene:GLYMA_10G060100,"3423,9757714291","11,9485151723","2,8799886653","4,1488063186","0,0000334","0,0138095891"
gene:GLYMA_10G070200,"122,5425946355","-10,1721730819","3,3552383554","-3,031728898","0,0024315748","0,1071459023"
gene:GLYMA_10G071000,"217,0837012153","-6,5391009366","2,3466128539","-2,786612596","0,0053262111","0,1743030075"
gene:GLYMA_10G076100,"72,1687836487","9,8233817995","3,4085852822","2,8819527711","0,0039521897",NA
gene:GLYMA_10G082800,"789,9595058187","5,8542161602","2,1198105152","2,7616695541","0,0057506649","0,1836680403"
gene:GLYMA_10G092600,"57,5906893517","-9,0828107542","3,3863612539","-2,6821741903","0,0073145362",NA
gene:GLYMA_10G092800,"180,7106342564","-8,2853113876","2,819843399","-2,9382168495","0,0033010604","0,130427004"
gene:GLYMA_10G111200,"54,1265877365","-8,9933134057","3,3928971657","-2,6506295259","0,0080341915",NA
gene:GLYMA_10G135200,"193,8453528804","6,4681199054","2,3275040976","2,7789939927","0,0054527533","0,1767589546"
gene:GLYMA_10G135300,"1379,1454555267","9,3128294971","2,553807639","3,6466448588","0,0002656867","0,031756101"
gene:GLYMA_10G135500,"1401,0847657559","9,3356344054","2,5557363241","3,6528159487","0,0002593802","0,031756101"
gene:GLYMA_10G135600,"264,7150984234","8,2510346119","2,6135190783","3,1570592618","0,0015936895","0,0835030891"
gene:GLYMA_10G1367001,"295,8920129597","8,4121622281","2,623267004","3,2067502908","0,0013424347","0,0754678473"
gene:GLYMA_10G153100,"122,2539195009","8,136069843","2,8435989653","2,8611875101","0,0042205735","0,1505900874"
gene:GLYMA_10G159700,"402,5574751925","5,5828360485","2,1139305518","2,6409742003","0,0082668014","0,229615709"
gene:GLYMA_10G164400,"48,06440991","-8,8219463752","3,4075717873","-2,588924585","0,0096276177",NA
gene:GLYMA_10G168900,"64,5188925819","-9,2466952382","3,3762458555","-2,7387505632","0,0061673145",NA
gene:GLYMA_10G185600,"71,4470958122","-9,3938473552","3,3690558983","-2,7882729283","0,0052989881",NA
gene:GLYMA_10G185700,"106,5211246655","-9,9700323144","3,3554456359","-2,9712990155","0,002965429",NA
gene:GLYMA_10G187500,"54,848275573","9,4274559375","3,4329541762","2,7461642229","0,0060296573",NA
gene:GLYMA_10G198200,"375,4220125406","-5,7329676633","2,1490118803","-2,6677226478","0,0076367271","0,2181754189"
gene:GLYMA_10G198700,"56,0029761114","9,4575129888","3,4306262071","2,756789116","0,0058371984",NA
gene:GLYMA_10G198800,"132228,800101692","16,2200307157","3,0905903308","5,2481982339","0,000000154","0,0015148876"
gene:GLYMA_10G198900,"594,0934269961","12,8645830809","3,473573619","3,7035584939","0,0002125961","0,0284900734"
gene:GLYMA_10G199000,"172822,441865982","14,3583503905","2,8953098119","4,959175813","0,000000708","0,0016145049"
gene:GLYMA_10G199100,"297944,348829085","14,7481869731","2,9182616052","5,053757671","0,000000433","0,0015148876"
gene:GLYMA_10G206800,"138,5640646055","10,7644783851","3,3937562803","3,1718477982","0,0015147237","0,0820412226"
gene:GLYMA_10G210000,"1113,4199941322","6,0588776647","2,1369456867","2,8352979219","0,0045782969","0,1580497195"
gene:GLYMA_10G214600,"85,880852542","-7,2069366338","2,796636033","-2,5770019941","0,0099661376",NA
gene:GLYMA_10G222000,"77,2205985041","7,4702585379","2,842124211","2,6284067773","0,0085785865",NA
gene:GLYMA_10G231600,"113,8823405977","-10,0664354059","3,3550902116","-3,0003471654","0,0026967205",NA
gene:GLYMA_10G244900,"244,2191638672","7,1292472658","2,4063028474","2,9627389891","0,00304915","0,1250343891"
gene:GLYMA_10G245000,"48,06440991","-8,8219463752","3,4075717873","-2,588924585","0,0096276177",NA
gene:GLYMA_10G252600,"44,4559707276","9,1243883977","3,4614176755","2,6360264069","0,0083883203",NA
gene:GLYMA_10G254600,"53,1162247654","9,3811625558","3,4367062639","2,7296957713","0,0063392797",NA
gene:GLYMA_10G293100,"182,5870226312","5,8884307106","2,2388891907","2,630067953","0,0085367802","0,2343379414"
gene:GLYMA_10G293300,"185,3294364099","5,7142248073","2,2082433221","2,587678971","0,0096624986","0,2555408935"
gene:GLYMA_11G031500,"1830,0560157638","-7,9237081177","2,3649185992","-3,3505204451","0,0008065985","0,0569835572"
gene:GLYMA_11G039400,"133,3679121828","10,7093375009","3,3933339996","3,15599275","0,0015995284","0,0835030891"
gene:GLYMA_11G049100,"305,4182924013","11,90469569","3,4255946842","3,4752201552","0,0005104343","0,0463995446"
gene:GLYMA_11G061100,"429,6929378444","8,3653013377","2,5396495849","3,2938801429","0,0009881462","0,064873298"
gene:GLYMA_11G066000,"754,5968018308","13,2095931052","3,4930391244","3,7816905665","0,0001557669","0,0254810519"
gene:GLYMA_11G066100,"714,7596332568","13,1313466858","3,4885571636","3,7641196833","0,0001671368","0,0258644238"
gene:GLYMA_11G066300,"953,7826447013","13,547541443","3,5130372701","3,8563614336","0,0001150873","0,0220002888"
gene:GLYMA_11G066400,"929,5339333953","13,5103891338","3,5108237749","3,8482105626","0,0001189838","0,0223012269"
gene:GLYMA_11G071900,"112,583302492","10,4649216051","3,393144386","3,0841368402","0,0020414367",NA
gene:GLYMA_11G076400,"198,031142332","11,2796457945","3,4033746715","3,3142533172","0,0009188822","0,062211196"
gene:GLYMA_11G085500,"101,1806346755","6,2646708556","2,4268327103","2,5814185003","0,0098395221",NA
gene:GLYMA_11G091600,"1733,2055081073","14,4092352023","3,5659646445","4,0407678255","0,0000533","0,0150552392"
gene:GLYMA_11G101900,"2825,552217414","15,1143111387","3,6102253547","4,1865284445","0,0000283","0,0133872112"
gene:GLYMA_11G119000,"1168,9899575417","-5,3035532695","2,0353238423","-2,6057540128","0,0091672272","0,2457005902"
gene:GLYMA_11G119200,"53,6935750346","-8,9817255314","3,3937983379","-2,6465112647","0,0081326796",NA
gene:GLYMA_11G125300,"241,0437373867","5,7725696824","2,1854813838","2,6413264031","0,0082582116","0,229615709"
gene:GLYMA_11G125500,"240,3220495502","6,2906518661","2,2675157886","2,7742483195","0,0055329427","0,1783547659"
gene:GLYMA_11G128800,"81,9837382249","10,0073430452","3,401446895","2,9420841643","0,0032601131",NA
gene:GLYMA_11G134300,"237,0022855023","6,4953831627","2,3025146413","2,8209953788","0,0047874893","0,1624871352"
gene:GLYMA_11G146500,"3249,6159901338","-5,6893260958","2,0723877596","-2,7452999901","0,0060455606","0,1898218418"
gene:GLYMA_11G147600,"416,413881653","-5,6586746246","2,1301258609","-2,6564977818","0,007895697","0,2231220996"
gene:GLYMA_11G147700,"468,0867307455","-6,4770273455","2,2438488485","-2,8865702563","0,0038946578","0,1446475922"
gene:GLYMA_11G163200,"272,9423397594","6,1092760729","2,2244244951","2,7464524359","0,0060243621","0,1898218418"
gene:GLYMA_11G185200,"249,9926665591","11,6157993063","3,4151753337","3,4012307339","0,0006708318","0,0524147206"
gene:GLYMA_11G195200,"2147,5986638181","-10,8600882548","2,7959436791","-3,8842299778","0,0001026547","0,0205293621"
gene:GLYMA_11G196400,"59,7557528611","-9,1360522738","3,3828192462","-2,7007213832","0,0069189273",NA
gene:GLYMA_11G196700,"90,0666419936","10,1429968679","3,3976691883","2,985280881","0,0028331804",NA
gene:GLYMA_11G203400,"264,4264232888","11,696778732","3,4174554241","3,4226572934","0,0006201221","0,0500681171"
gene:GLYMA_11G203900,"168,0089283342","11,0424595919","3,3977651071","3,249918474","0,001154381","0,069471288"
gene:GLYMA_11G223900,"1198,723496405","9,8482111059","2,6546300331","3,7098243383","0,0002074031","0,0284620417"
gene:GLYMA_11G224000,"85,4478398401","10,0670487402","3,3996340779","2,9612153866","0,0030642756",NA
gene:GLYMA_11G224200,"3304,8972784087","11,3122977183","2,7704252733","4,0832351001","0,0000444","0,0140811035"
gene:GLYMA_11G224400,"3398,716697152","12,9379820361","3,1214181699","4,1449050822","0,000034","0,0138095891"
gene:GLYMA_11G226900,"132,2132116444","10,6967923985","3,3932564852","3,1523677757","0,0016195215","0,0842086403"
gene:GLYMA_11G228000,"4609,4202116427","-5,5398003816","2,0498115165","-2,7025901342","0,0068801527","0,203552357"
gene:GLYMA_11G236200,"397,2169852025","-5,3922733731","2,0933291424","-2,5759319277","0,0099970326","0,2619988431"
gene:GLYMA_11G236700,"374,1229744349","-11,7823728869","3,4055605807","-3,4597454979","0,0005406862","0,0481395844"
gene:GLYMA_11G238500,"2000,5186827421","14,6161624776","3,5788585049","4,0840291556","0,0000443","0,0140811035"
gene:GLYMA_11G243100,"1179,0935872525","-8,406653984","2,4551532123","-3,4240852839","0,0006168726","0,0500681171"
gene:GLYMA_11G244900,"102,1909976466","-9,9101617007","3,3559124808","-2,9530453363","0,0031465575",NA
gene:GLYMA_11G250200,"1371,3512268927","7,3722642458","2,2988934747","3,2068751018","0,0013418524","0,0754678473"
gene:GLYMA_12G004500,"55,4256258422","-9,0275288204","3,3903105183","-2,6627439497","0,0077506366",NA
gene:GLYMA_12G027100,"976,0106300651","5,3483896558","2,0436962581","2,6170178834","0,0088701694","0,2413277302"
gene:GLYMA_12G027200,"52,394536929","-8,9463927579","3,3966258415","-2,6339058747","0,0084408884",NA
gene:GLYMA_12G044400,"54,1265877365","-8,9933134057","3,3928971657","-2,6506295259","0,0080341915",NA
gene:GLYMA_12G050100,"413,8158054417","7,5708302905","2,4078673956","3,1442056586","0,0016653835","0,0852065231"
gene:GLYMA_12G053300,"75,6328852638","9,8910199516","3,4056787576","2,9042727326","0,0036810734",NA
gene:GLYMA_12G058300,"54,2709253038","9,4121892715","3,4341690312","2,7407472335","0,0061299645",NA
gene:GLYMA_12G069700,"47,6313972081","-8,8088903199","3,4088121552","-2,584152461","0,0097618632",NA
gene:GLYMA_12G070000,"49,7964607176","-8,873020167","3,4028897008","-2,6074956719","0,0091207224",NA
gene:GLYMA_12G070200,"48,4974226119","-8,8348853331","3,4063601323","-2,5936439455","0,0094964777",NA
gene:GLYMA_12G075400,"4412,9767825509","-5,3655486144","2,0266094159","-2,6475494352","0,0081077505","0,227139328"
gene:GLYMA_12G077700,"61,9208163706","-9,1873986531","3,3796391246","-2,7184555257","0,0065587472",NA
gene:GLYMA_12G078900,"274,674390567","-8,8909245809","2,8486026029","-3,1211530073","0,0018014441","0,089037915"
gene:GLYMA_12G087600,"63,2198544763","-9,2173515755","3,3778882262","-2,7287319646","0,0063578357",NA
gene:GLYMA_12G092900,"104,6447362906","-6,485768161","2,5104116244","-2,5835476931","0,0097789946",NA
gene:GLYMA_12G096900,"177,2465326412","11,1196780651","3,3993875005","3,271082824","0,0010713653","0,0676052296"
gene:GLYMA_12G099300,"555,4109589604","12,7674505813","3,4683461407","3,6811350608","0,000232198","0,0298791599"
gene:GLYMA_12G115600,"57,1576766498","9,4869565827","3,4284267268","2,7671457898","0,005654946",NA
gene:GLYMA_12G128900,"957,1024087491","7,0114207121","2,2663544201","3,0937000188","0,0019767725","0,0937812628"
gene:GLYMA_12G134800,"109,2635384441","-7,5564244956","2,7988728453","-2,6998098568","0,0069379116",NA
gene:GLYMA_12G135000,"4794,6053104853","7,6727485279","2,3087690552","3,3233070716","0,0008895693","0,0611826012"
gene:GLYMA_12G144100,"101,902322512","6,8662066854","2,5579165542","2,6842965906","0,0072682596",NA
gene:GLYMA_12G154300,"150,6884202585","-10,470453615","3,3583870365","-3,1177030822","0,0018226633","0,0894067912"
gene:GLYMA_12G161500,"296,9023759308","7,8300307686","2,5019907768","3,129520237","0,0017509201","0,0875392715"
gene:GLYMA_12G176900,"815,2185800958","-9,4613781189","2,6875948033","-3,5203886045","0,000430915","0,0408865949"
gene:GLYMA_12G183400,"71,0140831103","9,800112209","3,4096640727","2,8742163451","0,0040503141",NA
gene:GLYMA_12G190900,"375,2776749733","12,201862954","3,438986815","3,5480982075","0,0003880235","0,0385031881"
gene:GLYMA_12G191700,"665,1075101064","13,0274779419","3,4826649018","3,7406636324","0,000183535","0,0265085734"
gene:GLYMA_12G218600,"76,210235533","9,9019909757","3,4052388418","2,9078697371","0,0036389988",NA
gene:GLYMA_12G235300,"247,3945903478","8,153077413","2,6078998696","3,1263000194","0,0017702086","0,0879569289"
gene:GLYMA_12G2374003,"134,5226127212","10,721774454","3,3934176985","3,1595799299","0,0015799676","0,0831809394"
gene:GLYMA_12G2374001,"154,7298721428","10,9236749847","3,3956858968","3,2169273945","0,0012957138","0,0748034452"
gene:GLYMA_13G001200,"253,1680930397","6,5915977938","2,3095149651","2,85410482","0,0043158289","0,1528650126"
gene:GLYMA_13G024500,"456,9727380636","6,2168402575","2,1969892451","2,8297090081","0,0046590358","0,1602190632"
gene:GLYMA_13G024600,"3189,2828870035","15,2890067692","3,6211340778","4,2221598099","0,0000242","0,0133872112"
gene:GLYMA_13G024700,"4178,8612483945","15,6788764474","3,6453923678","4,3010120353","0,000017","0,0124912141"
gene:GLYMA_13G024900,"670,3036625292","13,0387049978","3,4832984334","3,7432064025","0,0001816869","0,0265085734"
gene:GLYMA_13G025200,"2729,1347224594","15,0642229252","3,6070948666","4,1762757793","0,0000296","0,0133872112"
gene:GLYMA_13G044100,"255,766169251","11,6487385179","3,4160551772","3,4099971791","0,0006496355","0,0514915369"
gene:GLYMA_13G069900,"50,2294734195","-8,8855110124","3,4017852864","-2,6120140645","0,0090010551",NA
gene:GLYMA_13G081700,"208,1347720429","-6,1517247105","2,2835657356","-2,6939118128","0,0070618847","0,2053598423"
gene:GLYMA_13G090600,"152,5648086334","-8,0402021832","2,810672049","-2,8605977656","0,0042284316","0,1505900874"
gene:GLYMA_13G090700,"808,8677271347","-8,8640959401","2,5703935632","-3,4485364681","0,0005636334","0,0486990729"
gene:GLYMA_13G104500,"144,9149175666","-6,9599357292","2,5252876242","-2,7560962413","0,0058495782","0,1863692835"
gene:GLYMA_13G104700,"79,096986879","9,9556284722","3,4032115922","2,9253627647","0,0034405489",NA
gene:GLYMA_13G135300,"591,6396883521","7,2366035978","2,3238099901","3,1141115791","0,001844997","0,0901620919"
gene:GLYMA_13G138300,"68,8490196009","-9,3404086837","3,3714699852","-2,7704261716","0,005598299",NA
gene:GLYMA_13G168500,"95,8401446855","10,2326331905","3,3958093421","3,0133120442","0,0025841306",NA
gene:GLYMA_13G177100,"159,3486742963","10,9661097044","3,3963687013","3,2287748088","0,0012432175","0,0731248148"
gene:GLYMA_13G1836002,"63,5085296109","9,6389586471","3,4182979471","2,8198123149","0,0048051745",NA
gene:GLYMA_13G1836001,"71,5914333795","9,8117939196","3,4091173795","2,878103869","0,0040007339",NA
gene:GLYMA_13G191600,"1456,6547291654","14,1584563346","3,5504119496","3,9878348021","0,0000667","0,0171811967"
gene:GLYMA_13G197300,"645,0445882521","6,6192590452","2,2329254632","2,9643887153","0,0030328492","0,1250343891"
gene:GLYMA_13G203000,"923,3274180015","8,2460777213","2,4336395609","3,3883726472","0,0007030867","0,0525251956"
gene:GLYMA_13G212400,"49,3634480157","-8,8604202288","3,4040198364","-2,6029284948","0,009243123",NA
gene:GLYMA_13G229300,"92,3760430703","10,1795223856","3,3968521814","2,9967516518","0,0027287291",NA
gene:GLYMA_13G243500,"45,610671266","9,1613824504","3,4574300149","2,6497665639","0,0080547403",NA
gene:GLYMA_13G247000,"280,5922308262","7,3308795308","2,4201135777","3,0291468956","0,002452454","0,1072801335"
gene:GLYMA_13G281100,"139,4300900093","-10,3584288152","3,3567607621","-3,085840651","0,0020297757","0,0958471266"
gene:GLYMA_13G281200,"135,9659883942","-10,3221332635","3,3563446132","-3,0754092482","0,0021021389","0,0979415903"
gene:GLYMA_13G295000,"1009,3526081108","6,2132040735","2,1601761723","2,876248777","0,004024324","0,1473582746"
gene:GLYMA_13G299100,"464,9113042649","6,1411218616","2,185093536","2,8104617768","0,0049470465","0,1670302781"
gene:GLYMA_13G310800,"1434,4267438016","7,8802787395","2,3607697291","3,3380124467","0,0008437997","0,0586553596"
gene:GLYMA_13G323800,"1261,5103381793","-11,0926190667","2,991452748","-3,7081043897","0,0002088166","0,0284620417"
gene:GLYMA_13G325900,"6769,5762438157","-5,212092695","2,0034753511","-2,6015257399","0,00928101","0,2482383727"
gene:GLYMA_13G327500,"213,7639371675","7,3535966915","2,4722686043","2,9744327451","0,0029353079","0,1215161396"
gene:GLYMA_13G328800,"31619,3091800063","13,3484459091","2,8549775442","4,67549944","0,00000293","0,0034652862"
gene:GLYMA_13G331100,"301,6655156516","6,846852976","2,3290344269","2,9397817812","0,0032844347","0,1301657534"
gene:GLYMA_13G331200,"1907,9983021044","12,1049205898","3,0645901115","3,9499313609","0,0000782","0,0175748476"
gene:GLYMA_13G333200,"951,6175811918","-5,4050959972","2,0549975448","-2,6302201727","0,0085329585","0,2343379414"
gene:GLYMA_13G345700,"77,9422863406","-9,5193767927","3,3642230291","-2,8295914719","0,0046607475",NA
gene:GLYMA_13G346100,"124,4189830104","-7,7447500328","2,8024049926","-2,7636084196","0,0057166097","0,1830300731"
gene:GLYMA_13G348500,"3624,7493275398","11,4456219325","2,7807600392","4,1160048947","0,0000385","0,0140811035"
gene:GLYMA_13G351600,"157,6166234888","-10,535303683","3,3595536872","-3,135923597","0,0017131383","0,086669622"
gene:GLYMA_13G362300,"1680,0892833418","5,3636495939","2,0350653983","2,635615346","0,0083984876","0,2327759923"
gene:GLYMA_13G362800,"390,0001068376","-8,3954493293","2,6084310021","-3,2185820988","0,0012882609","0,0747986914"
gene:GLYMA_13G363800,"579,0823199972","12,8276623364","3,4716788212","3,6949450099","0,0002199344","0,0291727247"
gene:GLYMA_13G364300,"106,2324495309","10,3811541635","3,3937638989","3,0588910934","0,0022215789",NA
gene:GLYMA_13G364400,"327842,43251907","14,8861495761","2,9278855067","5,0842662878","0,000000369","0,0015148876"
gene:GLYMA_13G372200,"6574,2875152623","5,2993658704","2,015166007","2,6297415955","0,0085449792","0,2343379414"
gene:GLYMA_14G0016002,"163,1014510461","7,5494166882","2,5779800584","2,9284232295","0,0034068595","0,1333908648"
gene:GLYMA_14G0016001,"95,118456849","7,7725257583","2,8400408756","2,7367654547","0,0062046513",NA
gene:GLYMA_14G010300,"402,1244624906","6,5214447482","2,2505772432","2,8976764819","0,0037593816","0,1412375769"
gene:GLYMA_14G012400,"550,2148065377","6,7126927828","2,2552262244","2,9765052881","0,0029155405","0,1210834233"
gene:GLYMA_14G032000,"715,4813210932","9,1026485587","2,5959375394","3,5064975257","0,0004540457","0,0424614353"
gene:GLYMA_14G035100,"919,7189788191","7,4594006632","2,3268513099","3,20579172","0,0013469144","0,0754678473"
gene:GLYMA_14G052300,"16563,4575352139","15,2230330209","3,2713979558","4,6533724195","0,00000327","0,0035373494"
gene:GLYMA_14G052400,"64427,815576976","14,3753802153","2,9288465817","4,9082052659","0,000000919","0,0017068361"
gene:GLYMA_14G064400,"3706,5887281974","15,5058622532","3,6346451993","4,2661281646","0,0000199","0,0129271512"
gene:GLYMA_14G084600,"71,0140831103","-9,3850772431","3,3694370903","-2,7853546428","0,0053469207",NA
gene:GLYMA_14G126500,"1535,6073784771","11,7915951777","3,043193849","3,874743366","0,0001067371","0,0210223621"
gene:GLYMA_14G144000,"116,480416809","8,0660229648","2,8424611906","2,8376897427","0,0045441329","0,157938994"
gene:GLYMA_14G167800,"72,313121216","-9,4112292388","3,3683175594","-2,794044526","0,0052053311",NA
gene:GLYMA_14G169600,"104,5003987233","10,3574383486","3,3940074895","3,0516839991","0,0022756153",NA
gene:GLYMA_14G178200,"1263,0980514196","11,5096685966","3,0238273162","3,8063246981","0,0001410472","0,0243904155"
gene:GLYMA_14G185700,"133,2235746155","8,2604595805","2,8460949916","2,9023836537","0,0037033469","0,1407596689"
gene:GLYMA_14G196200,"212,8979117637","5,7449381642","2,1953505493","2,6168659789","0,0088741176","0,2413277302"
gene:GLYMA_14G213300,"2282,8429643758","6,0952443575","2,1280406628","2,8642518275","0,0041799555","0,1505900874"
gene:GLYMA_15G005600,"513,5530644442","9,2093906539","2,6762366123","3,4411720591","0,0005792001","0,0486990729"
gene:GLYMA_15G011000,"258,9415957315","-11,2514977627","3,3814651313","-3,3274031598","0,0008765945","0,0606109151"
gene:GLYMA_15G015100,"211,7432112253","5,7369454233","2,1947389646","2,6139534203","0,0089501238","0,2426797615"
gene:GLYMA_15G025200,"56,0029761114","9,4575129888","3,4306262071","2,756789116","0,0058371984",NA
gene:GLYMA_15G025300,"3754,941813242","13,0817977147","3,1311409761","4,1779650979","0,0000294","0,0133872112"
gene:GLYMA_15G028600,"47,1983845063","-8,7957150284","3,4100820522","-2,579326507","0,009899317",NA
gene:GLYMA_15G041100,"692,0986351911","-5,7411120978","2,1138390546","-2,7159646263","0,0066082978","0,1993068759"
gene:GLYMA_15G045000,"48954,2510124249","13,9791147025","2,9007108116","4,8192031576","0,00000144","0,002081757"
gene:GLYMA_15G048400,"217,5167139172","5,77647354","2,1977757414","2,6283270996","0,0085805963","0,2348193081"
gene:GLYMA_15G052000,"158,6269864599","-6,0807646732","2,3181265146","-2,6231375358","0,0087124094","0,2379256512"
gene:GLYMA_15G055900,"1125,2556746506","7,3346171785","2,301358782","3,1870811434","0,0014371645","0,078516464"
gene:GLYMA_15G057400,"245,2295268383","-5,8990914685","2,2176437808","-2,660071703","0,0078124018","0,222217529"
gene:GLYMA_15G068600,"48,06440991","-8,8219463752","3,4075717873","-2,588924585","0,0096276177",NA
gene:GLYMA_15G116900,"391,4434825106","12,2627075171","3,4418989498","3,5627738338","0,0003669568","0,0375596186"
gene:GLYMA_15G124900,"408,4753154517","-6,1240692273","2,2015468999","-2,7817119079","0,0054073017","0,1757237859"
gene:GLYMA_15G128900,"118,6454803185","-10,1255476241","3,355105903","-3,017951718","0,0025448945","0,1095400107"
gene:GLYMA_15G1291002,"936,8951493275","-5,9404318914","2,129877555","-2,789095494","0,0052855478","0,1743030075"
gene:GLYMA_15G131300,"517,4501787612","-8,2178771739","2,518348441","-3,2632010091","0,0011016136","0,0685161463"
gene:GLYMA_15G131400,"933,286710145","-8,6549970691","2,515768272","-3,4402997945","0,0005810702","0,0486990729"
gene:GLYMA_15G138800,"625,7033542343","10,4957621631","2,9564253653","3,5501529267","0,0003850074","0,0384977814"
gene:GLYMA_15G141900,"266,447149231","-8,8469584041","2,8462626456","-3,1082719712","0,001881848","0,0912950995"
gene:GLYMA_15G142000,"57,1576766498","-9,0719225384","3,3871169527","-2,6783611741","0,0073983394",NA
gene:GLYMA_15G142400,"215,495987975","-7,5361740979","2,5535589979","-2,9512433839","0,0031649742","0,1268410693"
gene:GLYMA_15G169000,"82,4167509268","7,5647225112","2,8409212652","2,662770913","0,0077500156",NA
gene:GLYMA_15G176200,"101,6136473774","10,3170245077","3,3944940461","3,039340876","0,0023709642",NA
gene:GLYMA_15G186600,"66,3952809568","9,7030885117","3,4146131406","2,8416362593","0,0044882668",NA
