"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:GLYMA_01G001500",91.2812032376662,-9.75279164585412,3.49784911350149,-2.78822537204619,0.0052997660457488,NA
"gene:GLYMA_01G008700",891.020102846462,5.80581029285824,2.24331552177629,2.58804891086436,0.00965212743436068,0.214505832060989
"gene:GLYMA_01G013300",63.8968422663664,-9.23822588360294,3.50849095926362,-2.63310522696684,0.00846081297686988,NA
"gene:GLYMA_01G028500",975.052348742229,7.66477461872797,2.49423810240326,3.07299235439583,0.00211923917282942,0.0868785185172061
"gene:GLYMA_01G043400",112.012956191355,8.00384079416588,2.96109995941509,2.70299581367287,0.00687176118390281,NA
"gene:GLYMA_01G048400",111.276133470679,-10.0385413947623,3.49876656889357,-2.86916580374691,0.00411555995790707,NA
"gene:GLYMA_01G056900",69.592640923676,9.76541263907197,3.54552547961942,2.75429204929031,0.00588192554015859,NA
"gene:GLYMA_01G073200",151.406467333092,-8.03469651191859,2.93455952844949,-2.73795656009875,0.0061822241354621,0.156497804416665
"gene:GLYMA_01G075000",319.640587376867,9.52025444315956,3.03344476479922,3.13843012855706,0.00169855425063335,0.077119842186014
"gene:GLYMA_01G078300",3723.78806131303,12.064110183587,3.0462098925877,3.96036734466081,7.48345556129165e-05,0.023753817555383
"gene:GLYMA_01G083300",327.716482448446,-6.55400578646238,2.42307704483779,-2.70482764897025,0.00683398367804408,0.167913174421057
"gene:GLYMA_01G084200",118.199086515301,7.07637694541996,2.68209583962483,2.63837587041998,0.00833041917163501,0.193270301935323
"gene:GLYMA_01G095000",1221.32871702448,10.4551229498893,2.91811280481007,3.582837144834,0.000339882520070508,0.0362504444389036
"gene:GLYMA_01G106700",63.8411829960995,9.64096647090185,3.55020062262572,2.71561173457612,0.0066153449384644,NA
"gene:GLYMA_01G128000",1329.16192706294,14.0207784164476,3.71617535759295,3.77290549214804,0.000161357421468902,0.0282265360154535
"gene:GLYMA_01G128300",112.153429587742,10.4538716931701,3.53784283860728,2.95487170291754,0.003127990990358,NA
"gene:GLYMA_01G131400",247.312690885791,11.5947169124862,3.57083232071694,3.24706283328315,0.00116602644341506,0.0637303776962996
"gene:GLYMA_01G156900",161.040821972143,10.9758170064297,3.54762777399345,3.09384684799515,0.00197579451358333,0.0821949983606463
"gene:GLYMA_01G171200",82.820994157102,10.0164717335666,3.53942597507246,2.82997068002293,0.00465522700395135,NA
"gene:GLYMA_01G174500",53.4885587264617,9.38571161176987,3.56366842662339,2.63372190904498,0.00844546277151692,NA
"gene:GLYMA_01G194700",826.844964228762,6.41723535474527,2.33048003107278,2.7536109596233,0.00589417863196198,0.154584902319624
"gene:GLYMA_01G203400",276.645126316431,11.7564143746366,3.5784203044459,3.28536431565353,0.00101850584435031,0.0597311239967944
"gene:GLYMA_01G210500",969.894589697499,-10.7186835521905,3.11085449574888,-3.44557534492147,0.000569845082970446,0.0454536888837255
"gene:GLYMA_10G006700",1151.98256715484,-7.63867355971157,2.49247809871443,-3.06469034317752,0.00217895471290485,0.0876235369001736
"gene:GLYMA_10G007600",7895.60144297706,16.5912518657531,3.88755130572803,4.2677898144539,1.97419203223218e-05,0.0128246551632314
"gene:GLYMA_10G022500",221.682922148618,-11.0328754986658,3.52789648267011,-3.12732404503986,0.00176405377173198,0.0782159835176728
"gene:GLYMA_10G031900",93.0198928231456,-9.78001268163741,3.49774991379254,-2.79608689091014,0.00517254916868298,NA
"gene:GLYMA_10G047300",133.433823919776,10.7045189504339,3.54118566578641,3.02286295063738,0.00250395613966814,0.0932556538311497
"gene:GLYMA_10G0478002",200.150735879663,11.2894725968591,3.55810435450131,3.17288968283826,0.00150929861609874,0.0712068537036528
"gene:GLYMA_10G050800",346.280174303168,-8.22890414137521,2.73351552748264,-3.01037402518558,0.00260926160320016,0.0941675822180571
