,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:GLYMA_01G001500,"91,2812032377","-9,7527916459","3,4978491135","-2,788225372","0,005299766",NA
gene:GLYMA_01G008700,"891,0201028465","5,8058102929","2,2433155218","2,5880489109","0,0096521274","0,2145058321"
gene:GLYMA_01G013300,"63,8968422664","-9,2382258836","3,5084909593","-2,633105227","0,008460813",NA
gene:GLYMA_01G028500,"975,0523487422","7,6647746187","2,4942381024","3,0729923544","0,0021192392","0,0868785185"
gene:GLYMA_01G043400,"112,0129561914","8,0038407942","2,9610999594","2,7029958137","0,0068717612",NA
gene:GLYMA_01G048400,"111,2761334707","-10,0385413948","3,4987665689","-2,8691658037","0,00411556",NA
gene:GLYMA_01G056900,"69,5926409237","9,7654126391","3,5455254796","2,7542920493","0,0058819255",NA
gene:GLYMA_01G073200,"151,4064673331","-8,0346965119","2,9345595284","-2,7379565601","0,0061822241","0,1564978044"
gene:GLYMA_01G075000,"319,6405873769","9,5202544432","3,0334447648","3,1384301286","0,0016985543","0,0771198422"
gene:GLYMA_01G078300,"3723,788061313","12,0641101836","3,0462098926","3,9603673447","0,0000748","0,0237538176"
gene:GLYMA_01G083300,"327,7164824484","-6,5540057865","2,4230770448","-2,704827649","0,0068339837","0,1679131744"
gene:GLYMA_01G084200,"118,1990865153","7,0763769454","2,6820958396","2,6383758704","0,0083304192","0,1932703019"
gene:GLYMA_01G095000,"1221,3287170245","10,4551229499","2,9181128048","3,5828371448","0,0003398825","0,0362504444"
gene:GLYMA_01G106700,"63,8411829961","9,6409664709","3,5502006226","2,7156117346","0,0066153449",NA
gene:GLYMA_01G128000,"1329,1619270629","14,0207784164","3,7161753576","3,7729054921","0,0001613574","0,028226536"
gene:GLYMA_01G128300,"112,1534295877","10,4538716932","3,5378428386","2,9548717029","0,003127991",NA
gene:GLYMA_01G131400,"247,3126908858","11,5947169125","3,5708323207","3,2470628333","0,0011660264","0,0637303777"
gene:GLYMA_01G156900,"161,0408219721","10,9758170064","3,547627774","3,093846848","0,0019757945","0,0821949984"
gene:GLYMA_01G171200,"82,8209941571","10,0164717336","3,5394259751","2,82997068","0,004655227",NA
gene:GLYMA_01G174500,"53,4885587265","9,3857116118","3,5636684266","2,633721909","0,0084454628",NA
gene:GLYMA_01G194700,"826,8449642288","6,4172353547","2,3304800311","2,7536109596","0,0058941786","0,1545849023"
gene:GLYMA_01G203400,"276,6451263164","11,7564143746","3,5784203044","3,2853643157","0,0010185058","0,059731124"
gene:GLYMA_01G210500,"969,8945896975","-10,7186835522","3,1108544957","-3,4455753449","0,0005698451","0,0454536889"
gene:GLYMA_10G006700,"1151,9825671548","-7,6386735597","2,4924780987","-3,0646903432","0,0021789547","0,0876235369"
gene:GLYMA_10G007600,"7895,6014429771","16,5912518658","3,8875513057","4,2677898145","0,0000197","0,0128246552"
gene:GLYMA_10G022500,"221,6829221486","-11,0328754987","3,5278964827","-3,127324045","0,0017640538","0,0782159835"
gene:GLYMA_10G031900,"93,0198928231","-9,7800126816","3,4977499138","-2,7960868909","0,0051725492",NA
gene:GLYMA_10G047300,"133,4338239198","10,7045189504","3,5411856658","3,0228629506","0,0025039561","0,0932556538"
gene:GLYMA_10G0478002,"200,1507358797","11,2894725969","3,5581043545","3,1728896828","0,0015092986","0,0712068537"
gene:GLYMA_10G050800,"346,2801743032","-8,2289041414","2,7335155275","-3,0103740252","0,0026092616","0,0941675822"
gene:GLYMA_10G056200,"63,8411829961","9,6409664709","3,5502006226","2,7156117346","0,0066153449",NA
gene:GLYMA_10G060100,"3232,0384085052","11,859735313","3,0302386488","3,9137958054","0,0000909","0,0237877187"
gene:GLYMA_10G070200,"117,3615470199","-10,1153556507","3,4997002322","-2,8903491669","0,0038481415","0,1152395557"
gene:GLYMA_10G071000,"210,0739886358","-6,4968035453","2,4712074396","-2,6289996709","0,0085636444","0,1965216761"
gene:GLYMA_10G076100,"66,1417661671","9,6920401719","3,5481407645","2,7315827683","0,0063030907",NA
gene:GLYMA_10G082800,"690,408190156","5,853664798","2,258273218","2,5920976928","0,0095392679","0,2131193581"
gene:GLYMA_10G092600,"57,3767563208","-9,0829495842","3,5154751296","-2,5837046912","0,0097745447",NA
gene:GLYMA_10G092800,"177,4868111153","-8,2647861533","2,9449094489","-2,8064652909","0,0050088308","0,1377836363"
gene:GLYMA_10G121000,"231,7837544813","11,5011616632","3,5666979387","3,2245964925","0,0012615034","0,0649597309"
gene:GLYMA_10G135300,"385,3476811476","12,2345300094","3,6035078977","3,3951722479","0,0006858544","0,0497625629"
gene:GLYMA_10G135500,"639,8563205465","9,5215689836","2,8434616493","3,3485835781","0,0008122578","0,0508112366"
gene:GLYMA_10G1367001,"292,4682617209","8,3897808099","2,7576565604","3,0423588384","0,0023473189","0,0913507267"
gene:GLYMA_10G144300,"270,3450270105","6,2619530519","2,3788937447","2,6322962368","0,0084809879","0,1956883677"
gene:GLYMA_10G153100,"116,0389767407","8,0549791299","2,9624417431","2,7190337662","0,0065472924",NA
gene:GLYMA_10G159700,"284,5831984331","6,16478586","2,3584081614","2,6139605353","0,0089499374","0,2031780139"
gene:GLYMA_10G185600,"62,1581526809","-9,1984253837","3,5100955319","-2,6205626884","0,0087784789",NA
gene:GLYMA_10G185700,"87,8038240667","-9,6967584898","3,4981862653","-2,7719388718","0,00557235",NA
gene:GLYMA_10G187500,"51,7631213482","9,3384062618","3,56678598","2,6181571628","0,0088406077",NA
gene:GLYMA_10G198200,"364,2157115363","-6,1160153073","2,3410305612","-2,6125311684","0,0089874497","0,2034826075"
gene:GLYMA_10G198800,"22212,7056620933","18,0834788108","3,9829068879","4,5402715453","0,00000562","0,0065506919"
gene:GLYMA_10G199000,"38372,1555810159","14,8446155966","3,198124814","4,6416623678","0,00000346","0,0065506919"
gene:GLYMA_10G199100,"175871,276941813","15,3040599043","3,1529370334","4,8539059748","0,00000121","0,0065506919"
gene:GLYMA_10G204100,"58,2461011136","-9,1046443954","3,5143801084","-2,5906828842","0,0095785711",NA
gene:GLYMA_10G206800,"136,3095528836","10,7352807676","3,5417777993","3,0310429891","0,0024371055","0,0922930747"
gene:GLYMA_10G210000,"838,4751012731","6,81336271","2,384267483","2,8576335326","0,0042681301","0,1217714814"
gene:GLYMA_10G214600,"83,8917724994","-9,6310050542","3,4988174271","-2,7526457881","0,0059115819",NA
gene:GLYMA_10G231600,"111,710805867","-10,0441658467","3,4988256759","-2,8707248594","0,0040953181",NA
gene:GLYMA_10G251500,"88,4319786883","7,6613191368","2,9537297211","2,5937779892","0,0094927763",NA
gene:GLYMA_10G254600,"52,9134129337","9,3701148785","3,5646736967","2,628603815","0,0085736182",NA
gene:GLYMA_11G031500,"986,5393619487","-8,418000673","2,617059581","-3,2165873235","0,0012972505","0,0656004812"
gene:GLYMA_11G035700,"174,5633742056","7,6423512041","2,7094541018","2,820623977","0,0047930349","0,1336100439"
gene:GLYMA_11G039400,"59,8151624468","9,5469911748","3,5545265997","2,6858685417","0,0072341545",NA
gene:GLYMA_11G049100,"301,376395405","11,8799421306","3,5845479561","3,3142092883","0,0009190269","0,0558358433"
gene:GLYMA_11G061100,"410,3731492362","8,879666893","2,793465161","3,1787283468","0,0014792265","0,0706089373"
gene:GLYMA_11G066000,"742,5132184501","13,1807676704","3,6609257484","3,6003919709","0,0003177378","0,0361010212"
gene:GLYMA_11G066100,"687,2992223454","13,0692915318","3,6538056123","3,5768984228","0,0003476952","0,0362504444"
gene:GLYMA_11G066300,"926,5598721326","13,5002286246","3,6816638171","3,6668825007","0,0002455255","0,0327576737"
gene:GLYMA_11G066400,"900,6783114585","13,4593571885","3,678986991","3,658441093","0,000253754","0,0329685067"
gene:GLYMA_11G071900,"64,4163287889","9,6539054055","3,5496597871","2,7196706119","0,0065346974",NA
gene:GLYMA_11G076400,"140,9107192256","10,7831747712","3,5427732053","3,043710152","0,0023368016","0,0913507267"
gene:GLYMA_11G091600,"1713,3593166251","14,3870815254","3,7391926057","3,8476438746","0,0001192592","0,027950179"
gene:GLYMA_11G101900,"2527,1906133771","14,9477756346","3,7784115791","3,9561004199","0,0000762","0,0237538176"
gene:GLYMA_11G128800,"49,4625381772","9,272818403","3,5714529979","2,5963713952","0,0094214167",NA
gene:GLYMA_11G146500,"1219,1368019525","-6,276199873","2,3045869761","-2,723351272","0,0064623305","0,161462667"
gene:GLYMA_11G147700,"231,2457148688","-11,0938031868","3,5306389951","-3,1421516622","0,0016771114","0,0769739443"
gene:GLYMA_11G163200,"267,3288246503","6,0732530043","2,3498456418","2,5845327439","0,0097511045","0,2155708836"
gene:GLYMA_11G171400,"506,8015097528","-7,1883844616","2,4828319777","-2,895235975","0,003788736","0,1142709842"
gene:GLYMA_11G185200,"238,1103582017","11,5400119424","3,5683912693","3,2339536423","0,0012208927","0,0645908781"
gene:GLYMA_11G195200,"1646,9737098453","-13,9260499263","3,7067743874","-3,7569186767","0,0001720184","0,028226536"
gene:GLYMA_11G196400,"59,984790699","-9,1470791447","3,5123521973","-2,604260231","0,0092072818",NA
gene:GLYMA_11G196700,"89,7227436702","10,1319476205","3,537975466","2,8637698927","0,0041863201",NA
gene:GLYMA_11G203400,"262,2664814975","11,6794126332","3,5747445849","3,2672019933","0,0010861615","0,0615613025"
gene:GLYMA_11G203900,"122,5060538574","10,5812492897","3,5392004406","2,9897287445","0,0027922529","0,095855999"
gene:GLYMA_11G223900,"942,6639543298","13,5250874697","3,6832948418","3,672007822","0,0002406523","0,0327576737"
gene:GLYMA_11G224200,"521,9514330312","9,2272966606","2,8202805039","3,2717655737","0,0010687816","0,0613349543"
gene:GLYMA_11G224400,"609,6545403231","12,8963486182","3,6429079312","3,5401247744","0,0003999379","0,0379882157"
gene:GLYMA_11G226900,"94,899055805","10,2128666471","3,5374227318","2,8870925025","0,003888199",NA
gene:GLYMA_11G228000,"4371,9270113635","-5,8112448007","2,2224353954","-2,6148093271","0,0089277279","0,2031780139"
gene:GLYMA_11G236200,"249,4754511019","-6,1556375476","2,3858492334","-2,5800614144","0,0098782746","0,2172448666"
gene:GLYMA_11G236700,"277,320988884","-11,3559275822","3,5433387227","-3,2048665033","0,0013512514","0,0671253987"
gene:GLYMA_11G238500,"1269,3467646161","13,9543492073","3,7117379918","3,7595189203","0,0001702404","0,028226536"
gene:GLYMA_11G243100,"807,1866400588","-12,8972350315","3,6367683125","-3,5463449753","0,0003906145","0,0379165447"
gene:GLYMA_11G244900,"61,7234802845","-9,1883012941","3,5105236799","-2,6173591555","0,0088613049",NA
gene:GLYMA_11G250200,"1365,6028464391","7,360611289","2,4404012734","3,0161479463","0,0025600831","0,0935495877"
gene:GLYMA_12G050100,"339,924415727","7,6036274367","2,5756562355","2,9521126818","0,0031560774","0,1026771783"
gene:GLYMA_12G053300,"59,240016654","9,5330521059","3,5552292432","2,6814169928","0,00733111",NA
gene:GLYMA_12G077700,"62,1581526809","-9,1984253837","3,5100955319","-2,6205626884","0,0087784789",NA
gene:GLYMA_12G083500,"191,8177479883","7,7789845903","2,7170199804","2,8630575581","0,0041957434","0,1217630679"
gene:GLYMA_12G096900,"147,237322946","10,8465359113","3,5442232844","3,0603421515","0,0022108426","0,0880687083"
gene:GLYMA_12G099300,"433,0847819465","12,4030156388","3,6131153355","3,4327760083","0,0005974354","0,0467532454"
gene:GLYMA_12G115600,"52,3382671409","9,3543476842","3,5657124822","2,6234161422","0,0087052872",NA
gene:GLYMA_12G128900,"722,2823989288","6,9866175736","2,4157413801","2,8921214957","0,0038264994","0,1149992439"
gene:GLYMA_12G134800,"76,5023417611","-9,4979816056","3,5009146705","-2,7130000299","0,0066677101",NA
gene:GLYMA_12G135000,"3626,2597675983","7,9761195521","2,4939920419","3,1981335217","0,0013832022","0,0683107753"
gene:GLYMA_12G144100,"64,4163287889","9,6539054055","3,5496597871","2,7196706119","0,0065346974",NA
gene:GLYMA_12G154300,"106,929409507","-9,9810568851","3,4982488538","-2,853158052","0,0043287086",NA
gene:GLYMA_12G161500,"231,7837544813","11,5011616632","3,5666979387","3,2245964925","0,0012615034","0,0649597309"
