,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
contig_23,"8,6757807373","-2,9038748772","0,9134373285","-3,1790630694","0,0014775194","0,0063548659"
contig_27,"176,0847467913","11,1739406389","1,2068493822","9,2587698216","2,07E-20","7,62E-19"
contig_41,"220,1195603286","0,9225007537","0,2173491559","4,2443263691","2,19E-05","0,0001382132"
contig_48,"38,0096423386","1,4431559099","0,4105081973","3,5155349384","0,000438869","0,002135266"
contig_52,"11,6833112019","-4,3297938251","1,0085395465","-4,2931324213","1,76E-05","0,0001129481"
contig_53,"5,5661512831","-5,7005031085","1,4348713427","-3,9728322247","7,10E-05","0,0004073612"
contig_60,"2065,0358716612","2,5961712528","0,2165216802","11,9903524246","3,99E-33","4,01E-31"
contig_85,"21,9167659179","-2,0650282298","0,5276386752","-3,9137165767","9,09E-05","0,0005103395"
contig_88,"13,4187085091","-3,2240927283","0,7725867726","-4,1731140664","3,00E-05","0,0001847337"
contig_110,"79,7245534542","2,1525396499","0,6091398217","3,5337365467","0,0004097293","0,002008452"
contig_117,"124,6372532397","-0,8175195745","0,2599608481","-3,1447796095","0,0016621199","0,0070676171"
contig_120,"79,6258863254","-4,3476885236","0,4396143836","-9,8897776921","4,61E-23","2,17E-21"
contig_123,"135,8705115085","1,5275799514","0,2598907184","5,8777780178","4,16E-09","4,52E-08"
contig_131,"173,25015999","-0,8178216444","0,2502363543","-3,2681967684","0,0010823509","0,0048041581"
contig_134,"1318,015150828","-0,6715376462","0,1733812222","-3,8731855598","0,000107422","0,0005949784"
contig_135,"966,886291048","0,9689980449","0,2473571757","3,9174042237","8,95E-05","0,0005034888"
contig_139,"137,7163061432","0,9796028518","0,2853249354","3,433288613","0,000596307","0,0028080064"
contig_145,"432,6337181219","0,6974688288","0,2296386481","3,0372449701","0,0023875134","0,0097482784"
contig_147,"116,915228383","-1,7579547178","0,3522662625","-4,9904146516","6,02E-07","4,89E-06"
contig_155,"16,5747263764","-3,0920609744","0,674506689","-4,5841813357","4,56E-06","3,23E-05"
contig_163,"152,754565221","-0,8957861626","0,2597562712","-3,4485641427","0,0005635756","0,0026702426"
contig_174,"1498,7104822805","-0,9045055993","0,2477589767","-3,6507480432","0,0002614777","0,001336881"
contig_183,"10,7345787822","3,1373851781","0,7948365186","3,9472081422","7,91E-05","0,0004496158"
contig_187,"21,8714504507","-5,2550407724","0,9424417883","-5,575984467","2,46E-08","2,41E-07"
contig_199,"150,0169464063","-1,4357407553","0,250398893","-5,7338143072","9,82E-09","1,01E-07"
contig_200,"32,0301212019","5,0222153787","0,7137044652","7,0368277398","1,97E-12","3,16E-11"
contig_213,"1092,6041745325","-1,0079854432","0,2229268234","-4,5215978395","6,14E-06","4,27E-05"
contig_216,"39,9484989546","-1,3750446547","0,3827137034","-3,5928806372","0,0003270424","0,0016365904"
contig_229,"106,4059818187","-1,3529626113","0,3044626374","-4,4437722235","8,84E-06","5,98E-05"
contig_239,"17,7018842293","-2,1973095449","0,5897608903","-3,7257634085","0,000194725","0,0010216412"
contig_244,"12,5076926423","-3,3007516762","0,7890969369","-4,1829482817","2,88E-05","0,0001775315"
contig_249,"20,3062220267","-1,5816616178","0,5088880432","-3,1080738461","0,0018831101","0,0078864555"
contig_269,"35,3723662356","2,6005678667","0,4346654303","5,9829185514","2,19E-09","2,47E-08"
contig_277,"468,256038118","-1,6447695717","0,2141385238","-7,6808672367","1,58E-14","3,19E-13"
contig_292,"61,2122864285","-1,2080703587","0,320018279","-3,7750042355","0,0001600049","0,0008547808"
contig_304,"48,4744930691","-2,193538505","0,407909809","-5,3775085971","7,55E-08","6,94E-07"
contig_309,"20,8811037083","5,2193733071","0,9157989388","5,6992567758","1,20E-08","1,23E-07"
contig_315,"17,1076246361","-3,6395299055","0,7454927123","-4,8820462565","1,05E-06","8,22E-06"
contig_320,"497,2610014639","-4,7958636134","0,3086922903","-15,5360654085","1,98E-54","5,17E-52"
contig_327,"11,4826641824","-3,376463833","0,8830020973","-3,8238457681","0,0001313861","0,0007139125"
contig_331,"78,2731247953","-1,2986766022","0,306061818","-4,2431839772","2,20E-05","0,000138895"
