,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:MTR_1g004980,"23,784629001","8,4012973301","1,524191864","5,5119683606","3,55E-08","1,29E-07"
gene:MTR_1g004990,"35399,9209891079","6,7780092048","0,2094005221","32,3686356482","7,59E-230","1,69E-227"
gene:MTR_1g006490,"5409,4281701489","-3,4760230348","0,4041330951","-8,6011838107","7,89E-18","5,37E-17"
gene:MTR_1g006590,"18,3397008897","-5,3686991306","1,1428978724","-4,6974443301","2,63E-06","8,07E-06"
gene:MTR_1g006600,"204,6077463447","-0,8917347919","0,3153773234","-2,827517154","0,0046910502","0,0093092482"
gene:MTR_1g006695,"1392,7522588879","-1,8384910352","0,2934732472","-6,2645949947","3,74E-10","1,58E-09"
gene:MTR_1g006975,"85,2957603764","-1,9835351785","0,3713475038","-5,3414528395","9,22E-08","3,24E-07"
gene:MTR_1g007120,"523,364290138","-0,8752045235","0,1541380226","-5,6780572951","1,36E-08","5,13E-08"
gene:MTR_1g007300,"443,4764924066","6,613380029","0,4253253609","15,5489905766","1,62E-54","3,54E-53"
gene:MTR_1g007360,"809,5784273773","-0,6113344618","0,2039497049","-2,9974765695","0,0027222478","0,0056285207"
gene:MTR_1g007380,"10004,0548446731","0,9770076079","0,1999052092","4,887354421","1,02E-06","3,27E-06"
gene:MTR_1g007390,"1802,1075783271","0,4266643487","0,109488703","3,8968801085","9,74E-05","0,0002488649"
gene:MTR_1g007420,"363,5624033041","0,6225480322","0,2133927115","2,9173818917","0,003529833","0,0071604425"
gene:MTR_1g007540,"681,6159574621","1,7219073145","0,3880979781","4,4367850686","9,13E-06","2,64E-05"
gene:MTR_1g007580,"171,6488510507","1,4500626039","0,4064638797","3,5675066748","0,0003603942","0,0008540046"
gene:MTR_1g007670,"93,5728068359","-3,0295395407","0,5634246295","-5,3770094208","7,57E-08","2,68E-07"
gene:MTR_1g007700,"40,8978191741","1,3370061451","0,3980529794","3,35886481","0,0007826334","0,0017655262"
gene:MTR_1g007800,"1403,5100663165","0,7162139465","0,1059709652","6,7585866114","1,39E-11","6,52E-11"
gene:MTR_1g007810,"47,2292817667","-3,7505118033","0,6084115581","-6,1644322062","7,07E-10","2,93E-09"
gene:MTR_1g007830,"9,5595881624","2,6920670422","0,808249559","3,3307374091","0,0008661627","0,0019409561"
gene:MTR_1g007860,"1495,3865290468","2,41583651","0,1398968691","17,2686960435","8,10E-67","2,36E-65"
gene:MTR_1g007880,"501,6643867063","-2,8513563483","0,2116509009","-13,4719783195","2,29E-41","3,64E-40"
gene:MTR_1g007905,"1221,4213256421","2,1648534633","0,2568849992","8,4273253415","3,54E-17","2,32E-16"
gene:MTR_1g008050,"95,8895497888","3,0624824107","0,3012107299","10,1672420897","2,78E-24","2,56E-23"
gene:MTR_1g008140,"3221,438900827","-1,0459360272","0,3433273565","-3,0464686468","0,0023154663","0,0048504315"
gene:MTR_1g008160,"1015,7328403344","-2,1314084761","0,1443265031","-14,7679631232","2,36E-49","4,59E-48"
gene:MTR_1g008280,"16238,7080703963","3,7006902205","0,178811015","20,6960976132","3,76E-95","1,79E-93"
gene:MTR_1g008370,"923,6210503641","0,4757970127","0,1264450802","3,7628748544","0,0001679713","0,0004157041"
gene:MTR_1g008380,"160,4895027273","-1,8473028953","0,279609528","-6,6067237007","3,93E-11","1,78E-10"
gene:MTR_1g008600,"634,3845503523","-1,0507946362","0,1491621387","-7,0446471575","1,86E-12","9,24E-12"
gene:MTR_1g008620,"323,0395460254","-4,1101707112","0,2573761161","-15,9695109776","2,08E-57","4,87E-56"
gene:MTR_1g008670,"666,5316657023","-0,5084728679","0,1716084932","-2,9629819513","0,0030467443","0,0062455264"
gene:MTR_1g008675,"742,3002846796","-2,8405595491","0,2442602047","-11,6292359294","2,93E-31","3,44E-30"
gene:MTR_1g008700,"2047,2797462556","2,4767261911","0,4280436268","5,7861536443","7,20E-09","2,77E-08"
gene:MTR_1g008740,"574,3405140145","1,2551343397","0,1916504994","6,5490794103","5,79E-11","2,60E-10"
gene:MTR_1g008990,"5408,9156886576","2,3914094374","0,1447957057","16,5157483488","2,83E-61","7,30E-60"
gene:MTR_1g009010,"3781,0452723971","-0,6712168478","0,1308030074","-5,1315092924","2,87E-07","9,67E-07"
gene:MTR_1g009150,"196,2647014678","-7,204625835","1,3224817591","-5,4478073405","5,10E-08","1,83E-07"
gene:MTR_1g009180,"99,9689985369","-1,3625556351","0,2990880702","-4,5557003807","5,22E-06","1,55E-05"
gene:MTR_1g009200,"2220,4574616933","-1,0902122461","0,1904814044","-5,7234576221","1,04E-08","3,97E-08"
gene:MTR_1g009230,"51,502065967","-3,1099850142","0,4231774263","-7,3491278617","2,00E-13","1,05E-12"
gene:MTR_1g009260,"70,8682721381","-2,1851796202","0,3192991865","-6,8436742474","7,72E-12","3,68E-11"
gene:MTR_1g009270,"112,9152171688","-4,2797546831","0,626320264","-6,8331729455","8,31E-12","3,94E-11"
gene:MTR_1g009310,"27,2197386092","2,6510627383","0,6447099852","4,1120236995","3,92E-05","0,0001056636"
gene:MTR_1g009315,"711,4833290054","-0,7114430009","0,1712808812","-4,1536626623","3,27E-05","8,90E-05"
gene:MTR_1g009620,"1745,6197801794","0,4670393879","0,1344632871","3,4733598875","0,0005139856","0,0011910718"
gene:MTR_1g009640,"7074,3594324271","2,9298013777","0,2289858699","12,7946819532","1,76E-37","2,50E-36"
gene:MTR_1g009650,"477,104790773","0,7328496877","0,1671918293","4,3832864963","1,17E-05","3,34E-05"
gene:MTR_1g009660,"93,7381108525","-1,9743408656","0,3149369229","-6,2690041148","3,63E-10","1,54E-09"
gene:MTR_1g009720,"7,2523701804","5,6932224073","1,5299376455","3,7212120534","0,0001982689","0,0004863672"
gene:ENSRNA049460345,"234,7432728464","3,7449682805","0,457969022","8,1773397333","2,90E-16","1,81E-15"
gene:MTR_1g009760,"1413,1919932689","5,6624781108","0,2184658795","25,9192791249","4,04E-148","3,81E-146"
gene:MTR_1g009770,"3751,8168981844","0,3620980552","0,1149291341","3,1506202316","0,0016292418","0,0035025774"
gene:MTR_1g009830,"87,0589830085","0,9155367996","0,2950908814","3,1025587614","0,0019185546","0,0040757623"
gene:MTR_1g009840,"167,2748499221","1,6525925584","0,3072564382","5,378544931","7,51E-08","2,66E-07"
gene:MTR_1g009860,"578,1721117067","1,3356371422","0,2071050627","6,4490801169","1,13E-10","4,95E-10"
gene:MTR_1g009900,"901,7726077787","2,1418120646","0,4486399987","4,7740104999","1,81E-06","5,64E-06"
gene:MTR_1g009960,"3533,150515644","-0,9458710628","0,2263081109","-4,1795720852","2,92E-05","7,99E-05"
gene:MTR_1g009980,"261,6517775779","0,7189305979","0,1681119885","4,2764980905","1,90E-05","5,31E-05"
gene:MTR_1g010070,"626,4287098793","0,8671047052","0,2092988874","4,142901646","3,43E-05","9,30E-05"
gene:MTR_1g010080,"65,8661511303","2,2427208022","0,4363365957","5,1398870142","2,75E-07","9,27E-07"
gene:MTR_1g010090,"8406,3139527837","1,3227908436","0,2597328946","5,0928891608","3,53E-07","1,18E-06"
gene:MTR_1g010100,"986,519223552","1,5339027285","0,2941991837","5,2138238771","1,85E-07","6,34E-07"
gene:MTR_1g010120,"2678,8118470196","1,2301217063","0,2216740541","5,5492362946","2,87E-08","1,05E-07"
gene:MTR_1g010190,"13,5293874849","4,0926097664","1,1101685271","3,6864761219","0,0002273808","0,000553622"
gene:MTR_1g010210,"9571,7736115706","-2,4697419043","0,1889440172","-13,0712892683","4,80E-39","7,16E-38"
gene:MTR_1g010220,"805,076889773","7,0449561006","0,2672740159","26,3585521996","4,10E-153","4,05E-151"
gene:MTR_1g010230,"49,9754060859","-6,838981284","1,0945741948","-6,2480746547","4,16E-10","1,75E-09"
gene:MTR_1g010240,"622,2575197579","-4,0144720366","0,1885852068","-21,2873114705","1,49E-100","7,69E-99"
gene:MTR_1g010250,"833,1730151609","-2,3610684528","0,2594951367","-9,0987002008","9,14E-20","6,82E-19"
gene:MTR_1g010260,"261,880449064","-2,6606792982","0,1996392513","-13,3274357652","1,60E-40","2,49E-39"
gene:MTR_1g010270,"141,2202065041","1,5424908826","0,4305160501","3,5828882157","0,0003398161","0,0008080254"
gene:MTR_1g010290,"3689,1486452436","0,4977725122","0,1166642333","4,2667105274","1,98E-05","5,53E-05"
gene:MTR_1g010300,"4157,5496154743","0,7483583679","0,1159949689","6,4516450556","1,11E-10","4,87E-10"
gene:MTR_1g010310,"5555,2415877996","10,5899106902","0,4537795538","23,3371261499","1,86E-120","1,23E-118"
gene:MTR_1g011245,"25,1401510838","8,4811209974","1,4266821526","5,9446464525","2,77E-09","1,10E-08"
gene:MTR_1g011380,"2690,2961296714","0,9188786633","0,1454730818","6,316485855","2,68E-10","1,14E-09"
gene:MTR_1g011430,"16,4750771491","7,8723953059","1,3016569078","6,0479802772","1,47E-09","5,95E-09"
gene:MTR_1g011470,"173,6854828371","0,998171785","0,2213022942","4,5104448136","6,47E-06","1,90E-05"
gene:MTR_1g011510,"244,5542782601","2,6620887474","0,2216027043","12,0128892665","3,04E-33","3,82E-32"
gene:MTR_1g011540,"112786,989013885","10,6822923804","0,2952924076","36,1753032083","1,49E-286","5,73E-284"
gene:MTR_1g011580,"739,0532480124","-1,652288183","0,1988680693","-8,3084639426","9,69E-17","6,18E-16"
gene:MTR_1g011640,"1440,4285712458","-1,9954825281","0,2680102483","-7,4455456109","9,65E-14","5,16E-13"
gene:MTR_1g011650,"2344,1954374048","0,8598486545","0,2857099862","3,0095155782","0,0026166466","0,0054219695"
gene:MTR_1g011680,"5,8703029713","5,3896384798","1,5420730937","3,4950603195","0,0004739546","0,0011033686"
gene:MTR_1g011690,"228,1411145525","-1,0000964609","0,245239253","-4,0780439863","4,54E-05","0,0001213739"
gene:MTR_1g011700,"42,173227656","-1,8105301864","0,4235275276","-4,2748819579","1,91E-05","5,34E-05"
gene:MTR_1g011710,"160,5184929786","2,0668247752","0,2742338207","7,5367245741","4,82E-14","2,63E-13"
gene:MTR_1g011720,"1091,0844438718","1,1955971524","0,1617018469","7,3938373308","1,43E-13","7,58E-13"
gene:MTR_1g011755,"2,8848287848","5,3545129465","1,885299545","2,8401390966","0,0045093866","0,0089729772"
gene:MTR_1g011880,"6420,1863544904","-0,7855827464","0,2207158629","-3,5592491446","0,0003719166","0,0008792462"
gene:MTR_1g011800,"607,8114504928","-4,0317252189","0,3363676743","-11,9860662233","4,20E-33","5,26E-32"
