,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:MTR_1g004980,"23,9281762027","8,4175178852","1,5195717967","5,5394012336","3,04E-08","1,24E-07"
gene:MTR_1g004990,"35606,9220887989","6,7943235387","0,2076174941","32,725197693","6,84E-235","1,69E-232"
gene:MTR_1g006490,"5378,080905732","-3,4571772713","0,4009301249","-8,6228922614","6,53E-18","4,96E-17"
gene:MTR_1g006590,"17,9861091812","-5,3302720111","1,1443920905","-4,6577323063","3,20E-06","1,09E-05"
gene:MTR_1g006695,"1385,9604730321","-1,8168079258","0,2916716641","-6,2289490181","4,70E-10","2,20E-09"
gene:MTR_1g006975,"85,0498734875","-1,9664072259","0,371047821","-5,299605913","1,16E-07","4,51E-07"
gene:MTR_1g007120,"522,8589659407","-0,8580913099","0,155400913","-5,5217906591","3,36E-08","1,36E-07"
gene:MTR_1g007300,"442,3446000722","6,8818625281","0,433565501","15,8727170671","9,79E-57","2,54E-55"
gene:MTR_1g007360,"808,9890778548","-0,5941494293","0,2028852346","-2,9285000977","0,0034060173","0,0077493405"
gene:MTR_1g007380,"10021,1297555095","0,9943230794","0,1993805491","4,9870615958","6,13E-07","2,23E-06"
gene:MTR_1g007390,"1110,9785504343","0,4046247725","0,1197089281","3,3800718031","0,000724669","0,001839002"
gene:MTR_1g007420,"364,2689233321","0,6393215029","0,2131022895","3,0000686729","0,0026991874","0,0062391114"
gene:MTR_1g007540,"103,9115368291","1,6958923283","0,4774451352","3,5520150975","0,0003822929","0,0010091914"
gene:MTR_1g007670,"93,2049883632","-3,013257597","0,5603394195","-5,3775577665","7,55E-08","2,98E-07"
gene:MTR_1g007700,"40,5812700979","1,4139548986","0,3962439303","3,5683950981","0,0003591746","0,0009512727"
gene:MTR_1g007800,"1405,8324449314","0,7332545686","0,1064587602","6,8876865303","5,67E-12","3,03E-11"
gene:MTR_1g007810,"47,0187842007","-3,7337868845","0,6072295373","-6,148888773","7,80E-10","3,60E-09"
gene:MTR_1g007830,"9,6052262184","2,7089883577","0,8096525952","3,3458650956","0,0008202629","0,0020636793"
gene:MTR_1g007860,"1501,641184272","2,4388571375","0,1409075735","17,30820478","4,08E-67","1,35E-65"
gene:MTR_1g007880,"499,5586876478","-2,8394723435","0,2096306996","-13,5451169531","8,47E-42","1,53E-40"
gene:MTR_1g007905,"1226,3416987379","2,1809576999","0,2561676902","8,5137891435","1,68E-17","1,25E-16"
gene:MTR_1g008050,"96,4003959027","3,0793871669","0,3014470455","10,2153503006","1,69E-24","1,76E-23"
gene:MTR_1g008140,"3212,3830718481","-1,0282478185","0,3405550071","-3,0193296147","0,0025333475","0,0058810285"
gene:MTR_1g008160,"1009,6080337577","-2,1089839075","0,1456228339","-14,4825083484","1,56E-47","3,28E-46"
gene:MTR_1g008280,"16103,8920106664","3,7185516942","0,1771486437","20,9911383787","7,90E-98","4,46E-96"
