"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:MTR_1g004980",20.6117048887065,6.63173042433678,1.20709777023937,5.49394637935723,3.9304987495451e-08,1.63323119854334e-07
"gene:MTR_1g004990",25766.8035633487,6.3302817311694,0.196069175013873,32.2859609661819,1.10118024471346e-228,6.37807330552423e-226
"gene:MTR_1g006490",6490.27985742464,-4.2679444040298,0.383430469773484,-11.1309474350099,8.86877982431132e-29,1.47337293600482e-27
"gene:MTR_1g006590",16.9132699282188,-2.7859137924388,0.774316406536157,-3.59790102459712,0.000320795642187671,0.000838500036750747
"gene:MTR_1g006660",67.6537152406041,-1.97246070551191,0.464113759923404,-4.24995092978377,2.13817351658566e-05,6.57202766525291e-05
"gene:MTR_1g006695",489.487797627942,-1.11438092211774,0.16660971426994,-6.68857111364004,2.25360129492844e-11,1.24938866079801e-10
"gene:MTR_1g006975",143.345034149989,-1.63113745664793,0.420387505781368,-3.8800807212768,0.000104421803998156,0.000292684244424949
"gene:MTR_1g006990",35.1788197182385,-2.53871387999863,0.64618250486505,-3.92878770453375,8.53751666146147e-05,0.000242058041045485
"gene:MTR_1g007150",3358.62360808661,0.468493244312158,0.113051778039141,4.14405905363075,3.41211815499254e-05,0.000102184132600613
"gene:MTR_1g007180",3763.59263685018,0.8255447318764,0.136991807393667,6.02623432439334,1.67823819714985e-09,7.89624589167037e-09
"gene:MTR_1g007300",544.554665116384,6.08833087194021,0.434237242288057,14.0207478286753,1.16381785457856e-44,3.66216828218352e-43
"gene:MTR_1g007360",702.878079880072,-0.853177579365294,0.159964134428689,-5.33355543986413,9.63081407627219e-08,3.85288936347986e-07
"gene:MTR_1g007380",7131.78995860544,1.0073603953146,0.252662896246074,3.98697398898455,6.6921359082029e-05,0.00019227371816968
"gene:MTR_1g007385",106.1006379146,1.37606071105093,0.292856540645446,4.69875355359366,2.61754079888438e-06,8.99348700183751e-06
"gene:MTR_1g007390",1708.68690652805,0.642395051350134,0.145482719683161,4.41561068386108,1.00725224207233e-05,3.23139606349396e-05
