,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:MTR_1g004980,"20,6117048887","6,6317304243","1,2070977702","5,4939463794","3,93E-08","1,63E-07"
gene:MTR_1g004990,"25766,8035633487","6,3302817312","0,196069175","32,2859609662","1,10E-228","6,38E-226"
gene:MTR_1g006490,"6490,2798574246","-4,267944404","0,3834304698","-11,130947435","8,87E-29","1,47E-27"
gene:MTR_1g006590,"16,9132699282","-2,7859137924","0,7743164065","-3,5979010246","0,0003207956","0,0008385"
gene:MTR_1g006660,"67,6537152406","-1,9724607055","0,4641137599","-4,2499509298","2,14E-05","6,57E-05"
gene:MTR_1g006695,"489,4877976279","-1,1143809221","0,1666097143","-6,6885711136","2,25E-11","1,25E-10"
gene:MTR_1g006975,"143,34503415","-1,6311374566","0,4203875058","-3,8800807213","0,0001044218","0,0002926842"
gene:MTR_1g006990,"35,1788197182","-2,53871388","0,6461825049","-3,9287877045","8,54E-05","0,000242058"
gene:MTR_1g007150,"3358,6236080866","0,4684932443","0,113051778","4,1440590536","3,41E-05","0,0001021841"
gene:MTR_1g007180,"3763,5926368502","0,8255447319","0,1369918074","6,0262343244","1,68E-09","7,90E-09"
gene:MTR_1g007300,"544,5546651164","6,0883308719","0,4342372423","14,0207478287","1,16E-44","3,66E-43"
gene:MTR_1g007360,"702,8780798801","-0,8531775794","0,1599641344","-5,3335554399","9,63E-08","3,85E-07"
gene:MTR_1g007380,"7131,7899586054","1,0073603953","0,2526628962","3,986973989","6,69E-05","0,0001922737"
gene:MTR_1g007385,"106,1006379146","1,3760607111","0,2928565406","4,6987535536","2,62E-06","8,99E-06"
gene:MTR_1g007390,"1708,6869065281","0,6423950514","0,1454827197","4,4156106839","1,01E-05","3,23E-05"
gene:MTR_1g007540,"772,9069756842","1,7744584475","0,3717438602","4,7733362606","1,81E-06","6,33E-06"
gene:MTR_1g007590,"1092,2964071543","0,7138402016","0,1287544434","5,5441985741","2,95E-08","1,24E-07"
gene:MTR_1g007670,"20,1667657312","-3,217553172","0,8829717526","-3,6440046498","0,0002684286","0,0007101501"
gene:MTR_1g007800,"977,6151709564","1,6543355763","0,1841304583","8,9845840376","2,60E-19","2,51E-18"
gene:MTR_1g007810,"56,3954787122","-2,6668591182","0,3950523764","-6,7506469456","1,47E-11","8,28E-11"
gene:MTR_1g007830,"18,4078912504","1,8659219492","0,5413972078","3,4464934847","0,0005679123","0,0014300542"
gene:MTR_1g007840,"4817,8247817683","0,7350240982","0,2136584908","3,4401820182","0,0005813231","0,0014612397"
gene:MTR_1g007850,"28,8196200282","1,446905075","0,4611631023","3,1375126672","0,0017038791","0,0039726179"
gene:MTR_1g007860,"1554,392372948","3,7212874129","0,2310633992","16,1050492017","2,35E-58","1,06E-56"
gene:MTR_1g007880,"586,5472682127","-3,4580707729","0,2812652176","-12,2946975191","9,67E-35","2,12E-33"
