,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:MTR_1g004980,"20,7219219707","6,6520966411","1,2021314336","5,5335851433","3,14E-08","1,27E-07"
gene:MTR_1g004990,"25951,8761783096","6,3526943237","0,1938123387","32,7775536238","1,23E-235","7,40E-233"
gene:MTR_1g006490,"6435,8456515398","-4,2428843448","0,3793067569","-11,1858918069","4,78E-29","7,79E-28"
gene:MTR_1g006590,"16,5326436049","-2,7343145723","0,7724683252","-3,5397109281","0,0004005655","0,001000039"
gene:MTR_1g006660,"66,8925410834","-1,9355163999","0,4622761597","-4,1869267087","2,83E-05","8,26E-05"
gene:MTR_1g006695,"486,7966879034","-1,0861344482","0,1624007859","-6,6879876367","2,26E-11","1,21E-10"
gene:MTR_1g006975,"142,5042742173","-1,6043932189","0,417684915","-3,8411567218","0,0001224559","0,0003290424"
gene:MTR_1g006990,"34,4962446277","-2,4919296709","0,6367861789","-3,9132910753","9,10E-05","0,0002482925"
gene:MTR_1g007150,"3359,7873555012","0,4937059184","0,1140662037","4,3282401114","1,50E-05","4,55E-05"
gene:MTR_1g007180,"3764,9503514434","0,8481712879","0,1364733653","6,2149217633","5,14E-10","2,44E-09"
gene:MTR_1g007300,"535,4807211229","6,5612046385","0,3735476186","17,564573594","4,60E-69","2,58E-67"
gene:MTR_1g007360,"698,6038087908","-0,834491837","0,1581804383","-5,2755691273","1,32E-07","5,05E-07"
gene:MTR_1g007380,"7141,9759158557","1,0316473842","0,2495702036","4,133696127","3,57E-05","0,0001028759"
gene:MTR_1g007390,"959,3078632133","0,7254373769","0,1415171334","5,1261452214","2,96E-07","1,09E-06"
gene:MTR_1g007540,"95,1839993924","2,3457091734","0,3830136436","6,1243488648","9,11E-10","4,24E-09"
gene:MTR_1g007590,"1092,4755723834","0,7413318671","0,1276447839","5,8077725087","6,33E-09","2,74E-08"
gene:MTR_1g007670,"20,0496110441","-3,2001842406","0,8796785963","-3,6379016766","0,0002748683","0,0007028907"
gene:MTR_1g007800,"981,5955912478","1,677689122","0,1834950973","9,1429642895","6,08E-20","5,85E-19"
gene:MTR_1g007810,"56,0345433808","-2,643767993","0,3927029831","-6,7322330284","1,67E-11","9,03E-11"
gene:MTR_1g007830,"18,4999693831","1,8910299218","0,5410815742","3,4949072598","0,0004742265","0,0011717793"
gene:MTR_1g007840,"4824,2481640632","0,7605581142","0,2140525921","3,5531366699","0,0003806666","0,0009524126"
gene:MTR_1g007850,"28,9325195189","1,4711004543","0,4609086668","3,1917396231","0,0014141875","0,0032502457"
gene:MTR_1g007860,"1561,1507451524","3,7450327254","0,23079172","16,2268937758","3,26E-59","1,49E-57"
gene:MTR_1g007880,"580,4875284492","-3,4294057746","0,2755288596","-12,4466300186","1,46E-35","3,23E-34"
gene:MTR_1g007905,"946,304048122","2,3166710856","0,2275659719","10,1802174845","2,43E-24","3,04E-23"
gene:MTR_1g007920,"921,3049063496","-3,2872081568","0,4146268379","-7,9281123568","2,23E-15","1,61E-14"
gene:MTR_1g008000,"5,4627509055","6,4447947705","1,5174675746","4,2470724767","2,17E-05","6,43E-05"
gene:MTR_1g008050,"52,3501843656","2,899375559","0,4130929846","7,0186995843","2,24E-12","1,30E-11"
gene:MTR_1g008140,"1943,7399027101","-1,4006165681","0,3171928551","-4,415662413","1,01E-05","3,12E-05"
gene:MTR_1g008160,"1703,9550406266","-1,9909129077","0,2127756365","-9,3568650078","8,21E-21","8,36E-20"
gene:MTR_1g008280,"10142,1008261017","3,4182602923","0,2084488658","16,3985554867","1,96E-60","9,16E-59"
gene:MTR_1g008380,"47,3447699706","-2,5796869995","0,5444635676","-4,738034192","2,16E-06","7,25E-06"
gene:MTR_1g008620,"131,3170989114","-2,8634491785","0,3085582274","-9,280093428","1,69E-20","1,69E-19"
gene:MTR_1g008675,"1383,0008881189","-2,8692665964","0,2397321067","-11,9686371428","5,19E-33","1,04E-31"
gene:MTR_1g008700,"992,942627916","1,3113383522","0,2092633314","6,2664507127","3,69E-10","1,78E-09"
gene:MTR_1g008990,"5127,1144758667","1,9460596582","0,2288763743","8,5026672765","1,85E-17","1,53E-16"
gene:MTR_1g009010,"1531,4316222535","-0,8518030052","0,1423261888","-5,9848648547","2,17E-09","9,75E-09"
gene:MTR_1g009150,"142,4933188702","-7,4803834231","0,8563671566","-8,7350190453","2,44E-18","2,12E-17"
gene:MTR_1g009180,"94,207403592","-1,8806362091","0,2812552694","-6,6865812432","2,28E-11","1,22E-10"
gene:MTR_1g009190,"1790,735047033","1,1290579688","0,2466631073","4,5773280863","4,71E-06","1,52E-05"
gene:MTR_1g009220,"278,0859244067","1,038574103","0,2168134102","4,7901746573","1,67E-06","5,67E-06"
gene:MTR_1g009230,"44,6014810475","-3,3021186498","0,565127243","-5,84314186","5,12E-09","2,24E-08"
gene:MTR_1g009260,"77,3105674241","-2,9182316601","0,5398791384","-5,405342516","6,47E-08","2,55E-07"
gene:MTR_1g009270,"80,7707637833","-3,3577093757","0,5319901822","-6,311600266","2,76E-10","1,35E-09"
gene:MTR_1g009315,"207,5888090076","-0,7529952838","0,1996571512","-3,7714415894","0,0001623072","0,000428106"
gene:MTR_1g009640,"11539,2606308172","3,0707999464","0,1916782187","16,020599351","9,18E-58","4,06E-56"
gene:MTR_1g009650,"615,9340231046","0,6294469672","0,1488101251","4,2298665283","2,34E-05","6,91E-05"
gene:MTR_1g009740,"17,1958469803","1,7745752505","0,6110225151","2,9042714576","0,0036810884","0,0078788341"
gene:MTR_1g009760,"1878,6320986886","4,3925390081","0,5259563753","8,3515272637","6,74E-17","5,36E-16"
gene:MTR_1g009840,"25,3603140969","2,3678048467","0,6144336507","3,8536379704","0,0001163756","0,0003133506"
gene:MTR_1g009860,"504,26919945","0,5381079961","0,1703214945","3,1593663367","0,0015811261","0,0036012875"
