,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PsCam000178,"984,7207743867","7,7855976681","2,5501743195","3,0529668535","0,0022659097","0,1030777537"
PsCam000180,"43752,4874532565","10,7793570677","2,8222792749","3,8193800179","0,0001337875","0,015250598"
PsCam000266,"709,9301299943","9,6401675643","2,9040197861","3,3195943122","0,0009014835","0,0532575038"
PsCam000288,"93944,3995566321","10,4221472567","2,7820112445","3,746263527","0,000179488","0,0185037152"
PsCam000562,"24726,7746136245","-9,3334484028","2,6755348816","-3,4884420558","0,0004858441","0,0365638142"
PsCam000676,"39444,8079444168","8,6400061154","2,5959424862","3,3282733193","0,0008738609","0,0524661364"
PsCam000812,"2334,6246319119","6,8879070783","2,3990526763","2,8710945559","0,0040905315","0,1545205727"
PsCam000959,"3825,6259921193","10,0705902873","2,7973036079","3,6001062805","0,0003180871","0,0276202107"
PsCam000995,"3697,50092986","-6,379116418","2,3248347491","-2,7439010107","0,0060713843","0,1969169006"
PsCam001286,"305,4150813726","6,8275022557","2,4924241293","2,7393019412","0,0061569799","0,1988988922"
PsCam001615,"63509,3957475944","15,125008773","3,2714362695","4,6233542478","3,78E-06","0,0043315707"
PsCam001961,"1880,2338077829","-6,1625521583","2,3028273852","-2,676080803","0,0074488684","0,2254349925"
PsCam001970,"10408,6360102072","-6,6369131626","2,3537432276","-2,8197269289","0,0048064532","0,1701392393"
PsCam002076,"3855,6580802217","6,9844455151","2,40557384","2,9034425795","0,0036908465","0,1425437952"
PsCam002079,"106323,898752919","8,4722252212","2,575645202","3,2893603571","0,0010041537","0,0573586782"
PsCam002081,"2742,6345389124","6,7202441383","2,373903123","2,8308839031","0,0046419567","0,1665953831"
PsCam002284,"6905,8401564666","8,6726194138","2,6098951932","3,3229761242","0,0008906254","0,0531009726"
PsCam002388,"12988,1969030725","5,8156822591","2,2381439437","2,5984397811","0,0093648469","0,2650805704"
PsCam002495,"10301,4800982206","7,0810554803","2,4117843292","2,9360235053","0,0033244913","0,131939474"
PsCam002520,"3376,4478381146","6,8348096132","2,3869744704","2,8633777604","0,0041915051","0,1553915239"
PsCam002743,"2431,0590292111","7,6030990729","2,4936259499","3,049013455","0,002295942","0,1038632776"
PsCam002763,"3672,1483978919","-8,8613304274","2,6498917407","-3,3440348868","0,0008256935","0,0502547988"
PsCam002814,"114,6195078464","-10,1127221132","3,5769811641","-2,8271667222","0,0046961871",NA
PsCam002821,"3421,4071179365","15,3533287991","3,899423619","3,9373328726","8,24E-05","0,0121871787"
PsCam003054,"8559,14510918","6,1584177898","2,2882201791","2,6913571718","0,0071161962","0,2181738074"
PsCam003330,"78,1900518642","-9,5609356497","3,5796985787","-2,670877293","0,0075653297",NA
PsCam003403,"21584,3045822247","12,5678742694","3,0235587019","4,1566496663","3,23E-05","0,0077914939"
PsCam003468,"19142,9386825406","7,4922127438","2,4618519153","3,0433238885","0,0023398035","0,1049302521"
PsCam003875,"3387,4062923532","11,8959956275","3,0968435232","3,8413292561","0,0001223698","0,0147620371"
PsCam004396,"334,2032368317","6,2138397174","2,3802942453","2,6105342772","0,0090400912","0,2596241949"
PsCam004597,"22015,0606861311","7,8763235407","2,50838186","3,1400017941","0,001689468","0,0863965889"
