"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PsCam000178",994.982023607266,7.81577695757417,2.59700045503529,3.00954008014141,0.00261643554780467,0.110984088347302
"PsCam000180",44205.1939922581,10.8093126174722,2.87458900611426,3.76029846161687,0.000169710754847982,0.0181811526344817
"PsCam000266",715.101755912056,9.66575851096232,2.95085653212909,3.27557724535944,0.00105446273615205,0.0583832697158417
"PsCam000288",94587.3157471565,10.4470930711261,2.83457252904976,3.68559737458131,0.000228166822000917,0.0222652746640551
"PsCam000562",24463.2480211885,-9.30284814608087,2.71951849635287,-3.42077031597941,0.000624440449195112,0.0424907710520983
"PsCam000676",39832.4803163368,8.66927748485045,2.64553378461705,3.27694831767396,0.00104935575260002,0.0582405085533401
"PsCam000812",2349.66554178885,6.9124651731354,2.44506172092922,2.82711275300993,0.00469697864383481,0.165168716188469
"PsCam000959",3863.50292437566,10.0999187334797,2.84645280721827,3.54824738631448,0.000387803795169126,0.0317874904417455
"PsCam000995",3659.94507141392,-6.34893330686,2.36282838112235,-2.6870056909695,0.00720957243837222,0.219073986771804
"PsCam001286",308.570710281731,6.85768185555976,2.53477255091459,2.70544268482211,0.00682134184783641,0.211177374705936
"PsCam001615",61459.0105778056,15.0927483503439,3.32257325179821,4.54248776672586,5.55942236605266e-06,0.0061139604731228
"PsCam001961",1859.45213244505,-6.13098604012918,2.33981761118939,-2.62028373955722,0.00878566340271317,0.249827389079867
"PsCam001970",7450.39656782931,-6.78171726000264,2.41776643181431,-2.80495136782654,0.00503241720645635,0.170709374839925
"PsCam002076",1165.93980419736,7.36412175089999,2.52497331469629,2.9165146847446,0.00353966060317786,0.135412755891649
"PsCam002079",107396.964751314,8.50188423526544,2.62510007266376,3.23868957370388,0.00120080190235358,0.063875450847367
"PsCam002081",1451.56419915469,6.02311299378928,2.32606092710363,2.58940465557329,0.0096142042712999,0.265070503606851
"PsCam002284",6966.72787691589,8.70043972808226,2.6591086928499,3.2719383571935,0.00106812861871733,0.0589980970621494
"PsCam002495",8388.21638202263,7.12195200690063,2.4616163216092,2.89320148894889,0.00381336581355169,0.141895403527522
"PsCam002520",771.661005806127,6.29978015978368,2.38430937267696,2.6421823576991,0.00823736913088626,0.238355933657919
"PsCam002763",1872.135326473,-8.6812451069191,2.69972688370517,-3.21560123704245,0.00130171572073126,0.0679706516873667
"PsCam002814",113.42684175809,-10.0825373707428,3.61820650084399,-2.78661192178802,0.00532622218416331,NA
"PsCam002821",3069.56443998113,15.2118591213126,3.94860088076777,3.85246814774423,0.000116933191319493,0.0158727046968916
"PsCam003054",8550.15355880941,6.22821430687878,2.34006147149966,2.66156012683177,0.00777794480071917,0.229878134913124
"PsCam003330",77.3764501915654,-9.5307515351809,3.61688834298621,-2.6350693279384,0.00841200998557361,NA
"PsCam003403",21804.3621465699,12.597599794779,3.0773590100855,4.09363995344469,4.24653557972676e-05,0.00970790137756572
"PsCam003468",19332.913421149,7.52171019695371,2.50991917445978,2.99679379060986,0.00272835199673314,0.11425842098319
"PsCam003875",3423.0057691003,11.9261724979288,3.14968634364052,3.78646353850718,0.000152806505876351,0.0177734201016738
"PsCam004597",22001.4704370802,7.90444573407329,2.55683405214277,3.09149736466038,0.00199149750081882,0.0945776534770308
"PsCam004699",5643.58307595717,9.06029234328767,2.70532437117028,3.34905952123158,0.000810863740897057,0.0494447701956427
"PsCam005164",1585.32788650932,-6.33972292501004,2.37351899789051,-2.67102261690112,0.00756205513996791,0.226162524263631
"PsCam005249",1247.07400059242,-10.0972716805428,2.98533649553019,-3.38228929826201,0.000718843986018803,0.0462489763407014
"PsCam005256",871.564719030596,-6.10150208024213,2.35417798546289,-2.59177603304383,0.00954819091458548,0.263836718857639
"PsCam005309",75079.0627955833,6.40040696265968,2.36110085155602,2.71077237486136,0.00671266907218699,0.209219088957622
"PsCam005404",253.490037905274,-7.79359855209625,2.78204166531559,-2.80139533827296,0.00508821429796463,0.171842873790351
"PsCam005425",172.611115722727,7.60956722738064,2.78571855785017,2.73163532832017,0.00630208533179549,0.200768923163548
"PsCam005590",2355.37490052023,-8.42688255926807,2.65373748483239,-3.17547707994196,0.00149590338467622,0.075725588262082
"PsCam005594",26024.5490230366,-5.96717310454855,2.30070331075066,-2.59362998986671,0.00949686311686763,0.26322653209484
"PsCam005693",6171.56700417759,6.98429896343618,2.44510992631129,2.85643556892051,0.00428426948943754,0.154186842422211
"PsCam005859",70.5124102552168,9.76795530392982,3.66127810083599,2.66790859227533,0.00763250202879814,NA
"PsCam006088",12724.1934453761,9.11781515161449,2.70171763126068,3.37482164905587,0.000738635432187631,0.0468677407977347
"PsCam006185",175.143728698442,11.0805267132158,3.67461269587407,3.01542710219697,0.0025661761691202,0.109583686771194
"PsCam006241",77.3764501915654,-9.5307515351809,3.61688834298621,-2.6350693279384,0.00841200998557361,NA
