,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PsCam000178,"994,9820236073","7,8157769576","2,597000455","3,0095400801","0,0026164355","0,1109840883"
PsCam000180,"44205,1939922581","10,8093126175","2,8745890061","3,7602984616","0,0001697108","0,0181811526"
PsCam000266,"715,1017559121","9,665758511","2,9508565321","3,2755772454","0,0010544627","0,0583832697"
PsCam000288,"94587,3157471565","10,4470930711","2,834572529","3,6855973746","0,0002281668","0,0222652747"
PsCam000562,"24463,2480211885","-9,3028481461","2,7195184964","-3,420770316","0,0006244404","0,0424907711"
PsCam000676,"39832,4803163368","8,6692774849","2,6455337846","3,2769483177","0,0010493558","0,0582405086"
PsCam000812,"2349,6655417889","6,9124651731","2,4450617209","2,827112753","0,0046969786","0,1651687162"
PsCam000959,"3863,5029243757","10,0999187335","2,8464528072","3,5482473863","0,0003878038","0,0317874904"
PsCam000995,"3659,9450714139","-6,3489333069","2,3628283811","-2,687005691","0,0072095724","0,2190739868"
PsCam001286,"308,5707102817","6,8576818556","2,5347725509","2,7054426848","0,0068213418","0,2111773747"
PsCam001615,"61459,0105778056","15,0927483503","3,3225732518","4,5424877667","5,56E-06","0,0061139605"
PsCam001961,"1859,4521324451","-6,1309860401","2,3398176112","-2,6202837396","0,0087856634","0,2498273891"
PsCam001970,"7450,3965678293","-6,78171726","2,4177664318","-2,8049513678","0,0050324172","0,1707093748"
PsCam002076,"1165,9398041974","7,3641217509","2,5249733147","2,9165146847","0,0035396606","0,1354127559"
PsCam002079,"107396,964751314","8,5018842353","2,6251000727","3,2386895737","0,0012008019","0,0638754508"
PsCam002081,"1451,5641991547","6,0231129938","2,3260609271","2,5894046556","0,0096142043","0,2650705036"
PsCam002284,"6966,7278769159","8,7004397281","2,6591086928","3,2719383572","0,0010681286","0,0589980971"
PsCam002495,"8388,2163820226","7,1219520069","2,4616163216","2,8932014889","0,0038133658","0,1418954035"
PsCam002520,"771,6610058061","6,2997801598","2,3843093727","2,6421823577","0,0082373691","0,2383559337"
PsCam002763,"1872,135326473","-8,6812451069","2,6997268837","-3,215601237","0,0013017157","0,0679706517"
PsCam002814,"113,4268417581","-10,0825373707","3,6182065008","-2,7866119218","0,0053262222",NA
PsCam002821,"3069,5644399811","15,2118591213","3,9486008808","3,8524681477","0,0001169332","0,0158727047"
PsCam003054,"8550,1535588094","6,2282143069","2,3400614715","2,6615601268","0,0077779448","0,2298781349"
PsCam003330,"77,3764501916","-9,5307515352","3,616888343","-2,6350693279","0,00841201",NA
PsCam003403,"21804,3621465699","12,5975997948","3,0773590101","4,0936399534","4,25E-05","0,0097079014"
PsCam003468,"19332,913421149","7,521710197","2,5099191745","2,9967937906","0,002728352","0,114258421"
PsCam003875,"3423,0057691003","11,9261724979","3,1496863436","3,7864635385","0,0001528065","0,0177734201"
PsCam004597,"22001,4704370802","7,9044457341","2,5568340521","3,0914973647","0,0019914975","0,0945776535"
PsCam004699,"5643,5830759572","9,0602923433","2,7053243712","3,3490595212","0,0008108637","0,0494447702"
PsCam005164,"1585,3278865093","-6,339722925","2,3735189979","-2,6710226169","0,0075620551","0,2261625243"
PsCam005249,"1247,0740005924","-10,0972716805","2,9853364955","-3,3822892983","0,000718844","0,0462489763"
PsCam005256,"871,5647190306","-6,1015020802","2,3541779855","-2,591776033","0,0095481909","0,2638367189"
PsCam005309,"75079,0627955833","6,4004069627","2,3611008516","2,7107723749","0,0067126691","0,209219089"
PsCam005404,"253,4900379053","-7,7935985521","2,7820416653","-2,8013953383","0,0050882143","0,1718428738"
PsCam005425,"172,6111157227","7,6095672274","2,7857185579","2,7316353283","0,0063020853","0,2007689232"
PsCam005590,"2355,3749005202","-8,4268825593","2,6537374848","-3,1754770799","0,0014959034","0,0757255883"
PsCam005594,"26024,5490230366","-5,9671731045","2,3007033108","-2,5936299899","0,0094968631","0,2632265321"
PsCam005693,"6171,5670041776","6,9842989634","2,4451099263","2,8564355689","0,0042842695","0,1541868424"
