,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:PHAVU_001G011800g,"773,2712871409","4,543306641","1,7489867899","2,5976792205","0,0093856127","0,4162610752"
gene:PHAVU_001G015000g,"258,3995117881","11,5094857192","3,0830726332","3,7331218199","0,0001891211","0,0304160165"
gene:PHAVU_001G019500g,"1404,5192052095","5,0398450388","1,7947469685","2,8081089575","0,0049833363","0,2708009579"
gene:PHAVU_001G028600g,"1527,603654241","4,9857665777","1,7874120981","2,7893772135","0,0052809517","0,2831087976"
gene:PHAVU_001G028700g,"302,1332214711","5,947362116","1,9649804725","3,0266774653","0,0024725763","0,1640348342"
gene:PHAVU_001G028800g,"285,714549107","4,9169701047","1,8383942934","2,6746003958","0,0074818371","0,3642573534"
gene:PHAVU_001G039600g,"285,1215496537","6,3843484477","2,0291056333","3,1463854533","0,00165302","0,1273258835"
gene:PHAVU_001G058400g,"361,4702292698","5,2662446405","1,8662458483","2,8218386368","0,0047749196","0,2639801041"
gene:PHAVU_001G073500g,"1637,5309279019","11,730251426","2,7360027591","4,2873682737","1,81E-05","0,0066947347"
gene:PHAVU_001G079300g,"2522,1378624052","8,2617055669","2,1171785293","3,9022243296","9,53E-05","0,0190101509"
gene:PHAVU_001G085900g,"658,9706425117","5,5803199683","1,8745344922","2,9769097296","0,0029116973","0,1861849158"
gene:PHAVU_001G098400g,"31,1324712998","8,4563986872","3,1615313605","2,6747793151","0,0074778456",NA
gene:PHAVU_001G101900g,"305,5800307935","9,3065239212","2,6098179897","3,5659666528","0,0003625175","0,0477025054"
gene:PHAVU_001G110100g,"40,4722126897","8,8349092275","3,1187299818","2,8328548092","0,0046134335",NA
gene:PHAVU_001G112800g,"859,6638949977","9,2136513374","2,3185874083","3,9738210017","7,07E-05","0,0159033351"
gene:PHAVU_001G116300g,"2924,3026791597","11,5667881636","2,5366053548","4,5599478617","5,12E-06","0,0031333469"
gene:PHAVU_001G117800g,"142,0604315381","6,6040746245","2,1760299184","3,0349190371","0,0024060027","0,162658218"
gene:PHAVU_001G118600g,"859,367395271","6,1363540009","1,9279011432","3,1829194264","0,0014579818","0,1162162965"
gene:PHAVU_001G1191000g,"257,1764504156","6,7245423157","2,0909514736","3,2160202666","0,0012998165","0,1077899932"
gene:PHAVU_001G127700g,"285,714549107","6,8777193561","2,0999618655","3,2751639299","0,0010560068","0,0972784097"
gene:PHAVU_001G129100g,"1544,0223266051","9,6440877815","2,3094379099","4,1759459044","2,97E-05","0,0092644292"
gene:PHAVU_001G147300g,"4887,0196822808","4,9634715009","1,7753172258","2,7958223065","0,0051767855","0,2794060274"
gene:PHAVU_001G154800g,"268,5916898922","6,7877777536","2,0946319211","3,2405587278","0,001192957","0,1012748279"
gene:PHAVU_001G157700g,"105,8504024192","10,2219229479","3,0607623186","3,3396657055","0,0008387929","0,0848283557"
gene:PHAVU_001G161400g,"522,2842685194","7,4891514313","2,1192258016","3,5339091407","0,0004094618","0,0513342595"
gene:PHAVU_001G188300g,"84,5394845652","7,4467159772","2,5650914074","2,903099654","0,0036948904",NA
gene:PHAVU_001G189300g,"34,7645929514","8,6155969184","3,1417133143","2,7423243487","0,0061006068",NA
gene:PHAVU_001G205900g,"232,8634728291","4,7776665031","1,8365248058","2,6014712613","0,0092824842","0,4154417492"
gene:PHAVU_001G216100g,"2743,6972831552","10,8895811037","2,4270743392","4,4867109868","7,23E-06","0,003971226"
gene:PHAVU_001G233200g,"1246,7442881581","9,7507221593","2,3534256973","4,1432037437","3,42E-05","0,0099146994"
gene:PHAVU_001G2373001g,"43,066585298","8,924546074","3,1107156235","2,8689688015","0,0041181242",NA
gene:PHAVU_001G2373000g,"59,6705699912","9,3949941627","3,0799028907","3,0504189568","0,0022852234",NA
gene:PHAVU_001G237500g,"19800,4370589805","10,8022876156","2,2977026752","4,7013426638","2,58E-06","0,0024169448"
gene:PHAVU_001G237600g,"67,4536878162","9,5718707291","3,0726208265","3,1152137766","0,0018381164",NA
gene:PHAVU_001G237800g,"77,7941157836","7,326035244","2,5662802668","2,8547292121","0,0043073537",NA
gene:PHAVU_001G250800g,"2774,7926919892","10,4905666393","2,366039389","4,4338089585","9,26E-06","0,0046065666"
gene:PHAVU_010G010200g,"1822,8061946013","5,2328230575","1,812665828","2,8868106722","0,0038916833","0,2294940057"
gene:PHAVU_010G010900g,"4695,1102341973","10,9276776422","2,3736505741","4,60374318","4,15E-06","0,0026428236"
gene:PHAVU_010G011000g,"1948,2626414462","10,395341849","2,3952765585","4,3399338636","1,43E-05","0,0057851578"
gene:PHAVU_010G0154001g,"31,6513458214","8,480245386","3,1583442653","2,6850288232","0,0072523552",NA
gene:PHAVU_010G0154000g,"241,4249024365","5,6178624195","1,9426690124","2,8918268545","0,0038300896","0,2283995765"
gene:PHAVU_010G022900g,"102,2182807676","10,1715498842","3,0609558964","3,322997857","0,000890556","0,0875273606"
gene:PHAVU_010G040400g,"3573,9706427473","4,9086509425","1,7707953484","2,772003522","0,0055712434","0,2943234929"
