"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene:PHAVU_001G011800g",772.01409071014,4.5470157611239,1.74526879119131,2.60533837771781,0.0091783564854148,0.396164456904111
"gene:PHAVU_001G015000g",258.417176016267,11.5154886758125,3.08061582865255,3.73804762304598,0.000185454823348161,0.0299079360993328
"gene:PHAVU_001G019500g",1378.72085129093,5.03575634907681,1.79019076260614,2.81297192135313,0.00490859371789308,0.260288581454242
"gene:PHAVU_001G028600g",1531.92265346924,4.99605774238353,1.78412606071789,2.80028292416356,0.00510578348949301,0.266232570420464
"gene:PHAVU_001G028700g",278.653952274147,8.17667392727007,2.3336632568306,3.50379340435561,0.000458681055655498,0.0547525535657804
"gene:PHAVU_001G028800g",286.811304786455,4.92877856006525,1.83616217072074,2.68428281480746,0.00726855914181726,0.34247611643207
"gene:PHAVU_001G039600g",286.263197311302,6.39615691550512,2.02678416346255,3.1558155184013,0.00160050055741626,0.117455914507587
"gene:PHAVU_001G058400g",360.272639097531,5.26739016460326,1.86290968959445,2.82750698760386,0.00469119916050461,0.25045880023131
"gene:PHAVU_001G073500g",1521.285765216,11.629895433875,2.72663171169083,4.26529750388003,1.99636006728035e-05,0.00743549060296821
"gene:PHAVU_001G079300g",2527.72481867091,8.27083166977467,2.11354630957582,3.9132483789459,9.1062783007179e-05,0.0187275858668431
"gene:PHAVU_001G085900g",657.915572359704,5.58398748542648,1.87092133659721,2.98461906238266,0.00283931677870084,0.179094485359747
"gene:PHAVU_001G098400g",28.1341280340291,8.31620386375698,3.18748756663781,2.60901531061625,0.00908031795225268,NA
"gene:PHAVU_001G101900g",305.787233671745,9.31341696342146,2.60728414802932,3.57207593597379,0.000354162679197596,0.0465560234511596
"gene:PHAVU_001G110100g",40.1171825670414,8.82810180187304,3.12279097230586,2.82699094501173,0.00469876565340743,NA
"gene:PHAVU_001G112800g",862.65645206018,9.22458735796529,2.31540479937488,3.98400632168326,6.77630686316885e-05,0.0159435501552105
"gene:PHAVU_001G116300g",2921.69898035988,11.5714089932578,2.53272214672319,4.56876369491566,4.90609539062582e-06,0.00365457381883618
"gene:PHAVU_001G117800g",142.631175337436,6.61588306889664,2.17469609760498,3.04221039260741,0.00234847683453621,0.155139536353692
"gene:PHAVU_001G118600g",861.750973737626,6.14639447314913,1.92471256039173,3.19340903137151,0.00140603630200453,0.107316434117862
"gene:PHAVU_001G1191000g",257.690383117413,6.73340952500429,2.08857002153374,3.22393286103936,0.00126443040801988,0.101956107591005
"gene:PHAVU_001G127700g",219.657210034374,6.50067646166895,2.07570230885405,3.13179613181518,0.00173740472924214,0.125825102683031
"gene:PHAVU_001G129100g",1544.08639522331,9.65005942316568,2.30569939155121,4.18530683510888,2.8478115449127e-05,0.00968441652110205
"gene:PHAVU_001G141600g",407.313431908445,4.87360318766733,1.8079665178136,2.69562690439702,0.0070256310073709,0.337122533277003
"gene:PHAVU_001G147300g",4893.83552682832,4.97163938613123,1.77164716691249,2.80622433122249,0.00501257819321949,0.263020215960719
"gene:PHAVU_001G154800g",254.04336652041,6.71265108276983,2.08739277711009,3.21580641476743,0.00130078545995683,0.102768620960124
"gene:PHAVU_001G157700g",105.763481313109,10.2266419801591,3.05992469369382,3.34212211210136,0.000831404759423433,0.0797893536911703
"gene:PHAVU_001G161400g",521.276424738115,7.4922864325677,2.11577604988585,3.54115287058472,0.000398382687566114,0.0494595268380692
"gene:PHAVU_001G182200g",335.11394586864,6.10511754168617,1.97277683565145,3.09468229317998,0.00197023818802722,0.135772845706211
"gene:PHAVU_001G188300g",82.318374618085,9.86508988343991,3.06457619318187,3.21907150012715,0.0012860641328751,0.10239855756271
"gene:PHAVU_001G189300g",34.9071588570361,8.62740505900332,3.14467371947705,2.74349768167301,0.00607884774419301,NA
"gene:PHAVU_001G205900g",231.66736967154,4.77608563296121,1.8335791412333,2.60478837567313,0.00919310220905147,0.396164456904111
"gene:PHAVU_001G216100g",2736.70198054912,10.8918037014387,2.42298982147003,4.49519168629054,6.95073032937257e-06,0.004349210981695
"gene:PHAVU_001G222800g",565.204255425761,4.83021169043035,1.78853892232005,2.70064667318769,0.00692048148821055,0.335161275294358
"gene:PHAVU_001G233200g",1245.59319474558,9.75529918676493,2.34968754989285,4.15174314866238,3.29952456128546e-05,0.0101328215008545
