,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:PHAVU_001G011800g,"772,0140907101","4,5470157611","1,7452687912","2,6053383777","0,0091783565","0,3961644569"
gene:PHAVU_001G015000g,"258,4171760163","11,5154886758","3,0806158287","3,738047623","0,0001854548","0,0299079361"
gene:PHAVU_001G019500g,"1378,7208512909","5,0357563491","1,7901907626","2,8129719214","0,0049085937","0,2602885815"
gene:PHAVU_001G028600g,"1531,9226534692","4,9960577424","1,7841260607","2,8002829242","0,0051057835","0,2662325704"
gene:PHAVU_001G028700g,"278,6539522741","8,1766739273","2,3336632568","3,5037934044","0,0004586811","0,0547525536"
gene:PHAVU_001G028800g,"286,8113047865","4,9287785601","1,8361621707","2,6842828148","0,0072685591","0,3424761164"
gene:PHAVU_001G039600g,"286,2631973113","6,3961569155","2,0267841635","3,1558155184","0,0016005006","0,1174559145"
gene:PHAVU_001G058400g,"360,2726390975","5,2673901646","1,8629096896","2,8275069876","0,0046911992","0,2504588002"
gene:PHAVU_001G073500g,"1521,285765216","11,6298954339","2,7266317117","4,2652975039","2,00E-05","0,0074354906"
gene:PHAVU_001G079300g,"2527,7248186709","8,2708316698","2,1135463096","3,9132483789","9,11E-05","0,0187275859"
gene:PHAVU_001G085900g,"657,9155723597","5,5839874854","1,8709213366","2,9846190624","0,0028393168","0,1790944854"
gene:PHAVU_001G098400g,"28,134128034","8,3162038638","3,1874875666","2,6090153106","0,009080318",NA
gene:PHAVU_001G101900g,"305,7872336717","9,3134169634","2,607284148","3,572075936","0,0003541627","0,0465560235"
gene:PHAVU_001G110100g,"40,117182567","8,8281018019","3,1227909723","2,826990945","0,0046987657",NA
gene:PHAVU_001G112800g,"862,6564520602","9,224587358","2,3154047994","3,9840063217","6,78E-05","0,0159435502"
gene:PHAVU_001G116300g,"2921,6989803599","11,5714089933","2,5327221467","4,5687636949","4,91E-06","0,0036545738"
gene:PHAVU_001G117800g,"142,6311753374","6,6158830689","2,1746960976","3,0422103926","0,0023484768","0,1551395364"
gene:PHAVU_001G118600g,"861,7509737376","6,1463944731","1,9247125604","3,1934090314","0,0014060363","0,1073164341"
gene:PHAVU_001G1191000g,"257,6903831174","6,733409525","2,0885700215","3,223932861","0,0012644304","0,1019561076"
gene:PHAVU_001G127700g,"219,6572100344","6,5006764617","2,0757023089","3,1317961318","0,0017374047","0,1258251027"
gene:PHAVU_001G129100g,"1544,0863952233","9,6500594232","2,3056993916","4,1853068351","2,85E-05","0,0096844165"
gene:PHAVU_001G141600g,"407,3134319084","4,8736031877","1,8079665178","2,6956269044","0,007025631","0,3371225333"
gene:PHAVU_001G147300g,"4893,8355268283","4,9716393861","1,7716471669","2,8062243312","0,0050125782","0,263020216"
gene:PHAVU_001G154800g,"254,0433665204","6,7126510828","2,0873927771","3,2158064148","0,0013007855","0,102768621"
gene:PHAVU_001G157700g,"105,7634813131","10,2266419802","3,0599246937","3,3421221121","0,0008314048","0,0797893537"
gene:PHAVU_001G161400g,"521,2764247381","7,4922864326","2,1157760499","3,5411528706","0,0003983827","0,0494595268"
gene:PHAVU_001G182200g,"335,1139458686","6,1051175417","1,9727768357","3,0946822932","0,0019702382","0,1357728457"
gene:PHAVU_001G188300g,"82,3183746181","9,8650898834","3,0645761932","3,2190715001","0,0012860641","0,1023985576"
gene:PHAVU_001G189300g,"34,907158857","8,627405059","3,1446737195","2,7434976817","0,0060788477",NA
gene:PHAVU_001G205900g,"231,6673696715","4,776085633","1,8335791412","2,6047883757","0,0091931022","0,3961644569"
gene:PHAVU_001G216100g,"2736,7019805491","10,8918037014","2,4229898215","4,4951916863","6,95E-06","0,004349211"
gene:PHAVU_001G222800g,"565,2042554258","4,8302116904","1,7885389223","2,7006466732","0,0069204815","0,3351612753"
gene:PHAVU_001G233200g,"1245,5931947456","9,7552991868","2,3496875499","4,1517431487","3,30E-05","0,0101328215"
gene:PHAVU_001G237500g,"13537,7527131821","11,1984349769","2,3374451945","4,7908866497","1,66E-06","0,0031411599"
gene:PHAVU_001G250800g,"2776,7780050106","10,4975076557","2,3622307504","4,4438959461","8,83E-06","0,0051316289"
gene:PHAVU_010G010200g,"1668,3991704659","6,1893745872","1,9125056245","3,2362647764","0,0012110499","0,0986690313"
gene:PHAVU_010G010900g,"2965,9430237894","11,0079138813","2,4303899241","4,5292789326","5,92E-06","0,0040580005"
gene:PHAVU_010G011000g,"233,3679041027","8,9227945212","2,5914823601","3,443123773","0,0005750361","0,0620364777"
gene:PHAVU_010G0154001g,"31,781144631","8,4920534886","3,1619215103","2,685725582","0,0072372502",NA
gene:PHAVU_010G0154000g,"239,2495096045","5,6105621457","1,9393506817","2,8930106342","0,0038156838","0,2210694124"
gene:PHAVU_010G022900g,"102,6374670871","10,1833582713","3,060164465","3,3277160061","0,0008756108","0,0810483992"
gene:PHAVU_010G040400g,"3560,1537750755","4,9215027655","1,7677116902","2,7841094183","0,0053674924","0,2735361726"
gene:PHAVU_010G042200g,"1963,9851993482","5,8872872005","1,8781118451","3,1346840264","0,0017203931","0,1251726002"
gene:PHAVU_010G043800g,"443,7564927743","5,8277935549","1,9182839725","3,038024421","0,0023813466","0,1551804343"
gene:PHAVU_010G044600g,"177,1408061402","10,9706895431","3,0663894512","3,5777221771","0,0003466016","0,0460169385"
gene:PHAVU_010G050600g,"2000,1552073752","8,4361060637","2,139241351","3,9435036442","8,03E-05","0,0172072508"
gene:PHAVU_010G051500g,"5790,5709307209","10,3878042255","2,2943428105","4,5275728535","5,97E-06","0,0040580005"
gene:PHAVU_010G058800g,"541,8284128391","6,4238907964","1,9778430599","3,2479274654","0,001162489","0,0952084588"
gene:PHAVU_010G062300g,"173,9736338086","8,4980453411","2,5773873217","3,2971549404","0,0009766961","0,0878072202"
gene:PHAVU_010G062600g,"8350,9271612384","9,9156255234","2,2359733551","4,434590198","9,22E-06","0,0051316289"
gene:PHAVU_010G062800g,"547,8063875536","7,3406303016","2,0909129415","3,5107297658","0,0004468784","0,0541900719"
gene:PHAVU_010G101500g,"281,6012810765","4,9014540872","1,834054098","2,6724697448","0,0075295164","0,3526473803"
gene:PHAVU_010G110000g,"61,9581240435","7,0013200702","2,5745292931","2,7194563639","0,0065389322",NA
gene:PHAVU_010G110400g,"93,7804267801","10,0531606843","3,0613844339","3,2838609137","0,0010239544","0,0904955881"
gene:PHAVU_010G120900g,"1165,3437757114","5,4585649514","1,840577586","2,9656804435","0,0030201412","0,1867354485"
gene:PHAVU_010G136900g,"755,2064893174","8,0295852548","2,1533197187","3,7289331376","0,0001922922","0,0306941457"
gene:PHAVU_010G146900g,"801,3548559085","4,6968779641","1,7620619324","2,6655578205","0,0076860713","0,3570982565"
gene:PHAVU_010G148000g,"765,9819057874","5,0115122815","1,8000413439","2,7841095419","0,0053674903","0,2735361726"
gene:PHAVU_010G156500g,"65,0841382695","7,0728729416","2,5722115482","2,7497244333","0,0059645401",NA
gene:PHAVU_010G159500g,"1934,8793315793","10,3912987086","2,3908565821","4,3462660146","1,38E-05","0,0058544823"
gene:PHAVU_010G160800g,"2950,552895002","4,4841465578","1,7189217092","2,6086973792","0,0090887579","0,3954523591"
