	Glycine_max.Glycine_max_v2.0.pep.all.fa	Lj3.0_pep.fa	Lupinus_angustifolius.LupAngTanjil_v1.0.pep.all.fa	Medicago_truncatula.MedtrA17_4.0.pep.all.fa	Phaseolus_vulgaris.PhaVulg1_0.pep.all.fa
OG0020200	KRH46721				
OG0020201	KRH46724				
OG0020202	KRH46728				
OG0020203	KRH46729				
OG0020204	KRH46725				
OG0020205	KRH46722				
OG0020206	KRH46723				
OG0020207	KRH46720				
OG0020208	KRH46726				
OG0020209	KRH46727				
OG0020210	KRH42597				
OG0020211	KRH42381				
OG0020212	KRH42382				
OG0020213	KRH42378				
OG0020214	KRH44295				
OG0020215	KRH44291				
OG0020216	KRH44290				
OG0020217	KRH44294				
OG0020218	KRH44292				
OG0020219	KRH43660				
OG0020220	KRH45089				
OG0020221	KRH43988				
OG0020222	KRH43987				
OG0020223	KRH42175				
OG0020224	KRH42174				
OG0020225	KRH44960				
OG0020226	KRH44958				
OG0020227	KRH44959				
OG0020228	KRH42988				
OG0020229	KRH42989				
OG0020230	KRH42987				
OG0020231	KRH42986				
OG0020232	KRH41722				
OG0020233	KRH46539				
OG0020234	KRH46540				
OG0020235	KRH46541				
OG0020236	KRH46444				
OG0020237	KRH46443				
OG0020238	KRH43296				
OG0020239	KRH43297				
OG0020240	KRH42867				
OG0020241	KRH46098				
OG0020242	KRH45052				
OG0020243	KRH41174				
OG0020244	KRH44216				
OG0020245	KRH42088				
OG0020246	KRH42089				
OG0020247	KRH42090				
OG0020248	KRH43521				
OG0020249	KRH43520				
OG0020250	KRH43973				
OG0020251	KRH43972				
OG0020252	KRH45573				
OG0020253	KRH43541				
OG0020254	KRH43542				
OG0020255	KRH43540				
OG0020256	KRH43539				
OG0020257	KRH43535				
OG0020258	KRH43537				
OG0020259	KRH41725				
OG0020260	KRH45434				
OG0020261	KRH46246				
OG0020262	KRH45109				
OG0020263	KRH45344				
OG0020264	KRH45346				
OG0020265	KRH46872				
OG0020266	KRH41074				
OG0020267	KRH41079				
OG0020268	KRH41075				
OG0020269	KRH41078				
OG0020270	KRH41469				
OG0020271	KRH44408				
OG0020272	KRH46830				
OG0020273	KRH46558				
OG0020274	KRH43504				
OG0020275	KRH46253				
OG0020276	KRH46265				
OG0020277	KRH43405				
OG0020278	KRH43785				
OG0020279	KRH43786				
OG0020280	KRH46749				
OG0020281	KRH46748				
OG0020282	KRH46751				
OG0020283	KRH46750				
OG0020284	KRH41008				
OG0020285	KRH45203				
OG0020286	KRH45204				
OG0020287	KRH45201				
OG0020288	KRH45493				
OG0020289	KRH45494				
OG0020290	KRH44400				
OG0020291	KRH42482				
OG0020292	KRH42481				
OG0020293	KRH41573				
OG0020294	KRH44563				
OG0020295	KRH46132				
OG0020296	KRH45180				
OG0020297	KRH41475				
OG0020298	KRH41061				
OG0020299	KRH43033				
OG0020300	KRH43031				
OG0020301	KRH43032				
OG0020302	KRH40969				
OG0020303	KRH40968				
OG0020304	KRH40967				
OG0020305	KRH46770				
OG0020306	KRH46767				
OG0020307	KRH46765				
OG0020308	KRH46768				
OG0020309	KRH46771				
OG0020310	KRH46766				
OG0020311	KRH46772				
OG0020312	KRH46769				
OG0020313	KRH42942				
OG0020314	KRH42941				
OG0020315	KRH43283				
OG0020316	KRH43281				
OG0020317	KRH43274				
OG0020318	KRH43263				
OG0020319	KRH43264				
OG0020320	KRH43282				
OG0020321	KRH43273				
OG0020322	KRH43279				
OG0020323	KRH43262				
OG0020324	KRH43265				
OG0020325	KRH43278				
OG0020326	KRH43280				
OG0020327	KRH43266				
OG0020328	KRH43277				
OG0020329	KRH43276				
OG0020330	KRH43284				
OG0020331	KRH43285				
OG0020332	KRH43275				
OG0020333	KRH46466				
OG0020334	KRH45450				
OG0020335	KRH45449				
OG0020336	KRH42871				
OG0020337	KRH42870				
OG0020338	KRH42873				
OG0020339	KRH46436				
OG0020340	KRH43827				
OG0020341	KRH43825				
OG0020342	KRH43826				
OG0020343	KRH43169				
OG0020344	KRH43170				
OG0020345	KRH43166				
OG0020346	KRH43167				
OG0020347	KRH43168				
OG0020348	KRH41881				
OG0020349	KRH41880				
OG0020350	KRH46030				
OG0020351	KRH46029				
OG0020352	KRH46028				
OG0020353	KRH45418				
OG0020354	KRH41042				
OG0020355	KRH45872				
OG0020356	KRH43315				
OG0020357	KRH43317				
OG0020358	KRH45153				
OG0020359	KRH45147				
OG0020360	KRH45150				
OG0020361	KRH45154				
OG0020362	KRH45146				
OG0020363	KRH45148				
OG0020364	KRH45149				
OG0020365	KRH45152				
OG0020366	KRH44710				
OG0020367	KRH41728				
OG0020368	KRH44198				
OG0020369	KRH44199				
OG0020370	KRH41261				
OG0020371	KRH45655				
OG0020372	KRH45370				
OG0020373	KRH43035				
OG0020374	KRH43034				
OG0020375	KRH46120				
OG0020376	KRH42157				
OG0020377	KRH42156				
OG0020378	KRH42158				
OG0020379	KRH42080				
OG0020380	KRH45605				
OG0020381	KRH45606				
OG0020382	KRH41463				
OG0020383	KRH41462				
OG0020384	KRH43701				
OG0020385	KRH43702				
OG0020386	KRH41335				
OG0020387	KRH41334				
OG0020388	KRH41420				
OG0020389	KRH43500				
OG0020390	KRH43498				
OG0020391	KRH43502				
OG0020392	KRH43501				
OG0020393	KRH44833				
OG0020394	KRH44707				
OG0020395	KRH44708				
OG0020396	KRH44709				
OG0020397	KRH42528				
OG0020398	KRH42527				
OG0020399	KRH42194				
OG0020400	KRH42193				
OG0020401	KRH44442				
OG0020402	KRH45697				
OG0020403	KRH45694				
OG0020404	KRH45696				
OG0020405	KRH45695				
OG0020406	KRH45698				
OG0020407	KRH44847				
OG0020408	KRH44844				
OG0020409	KRH44845				
OG0020410	KRH44843				
OG0020411	KRH44846				
OG0020412	KRH44840				
OG0020413	KRH44325				
OG0020414	KRH44326				
OG0020415	KRH46552				
OG0020416	KRH42919				
OG0020417	KRH42921				
OG0020418	KRH42920				
OG0020419	KRH44041				
OG0020420	KRH44040				
OG0020421	KRH44042				
OG0020422	KRH44039				
OG0020423	KRH44257				
OG0020424	KRH44256				
OG0020425	KRH44415				
OG0020426	KRH42047				
OG0020427	KRH41208				
OG0020428	KRH41207				
OG0020429	KRH42904				
OG0020430	KRH42903				
OG0020431	KRH42007				
OG0020432	KRH42006				
OG0020433	KRH42005				
OG0020434	KRH42004				
OG0020435	KRH43884				
OG0020436	KRH41192				
OG0020437	KRH46070				
OG0020438	KRH41496				
OG0020439	KRH41494				
OG0020440	KRH41495				
OG0020441	KRH43606				
OG0020442	KRH46398				
OG0020443	KRH46399				
OG0020444	KRH43558				
OG0020445	KRH45914				
OG0020446	KRH45911				
OG0020447	KRH45954				
OG0020448	KRH45952				
OG0020449	KRH46498				
OG0020450	KRH46496				
OG0020451	KRH46497				
OG0020452	KRH45093				
OG0020453	KRH46040				
OG0020454	KRH46039				
OG0020455	KRH46038				
OG0020456	KRH42350				
OG0020457	KRH41128				
OG0020458	KRH45800				
OG0020459	KRH45799				
OG0020460	KRH45805				
OG0020461	KRH42276				
OG0020462	KRH43672				
OG0020463	KRH43673				
OG0020464	KRH44689				
OG0020465	KRH44690				
OG0020466	KRH42009				
OG0020467	KRH42008				
OG0020468	KRH42370				
OG0020469	KRH42371				
OG0020470	KRH41317				
OG0020471	KRH41316				
OG0020472	KRH42592				
OG0020473	KRH42590				
OG0020474	KRH42591				
OG0020475	KRH42593				
OG0020476	KRH42589				
OG0020477	KRH44649				
OG0020478	KRH44651				
OG0020479	KRH44650				
OG0020480	KRH46147				
OG0020481	KRH46145				
OG0020482	KRH46144				
OG0020483	KRH46146				
OG0020484	KRH42485				
OG0020485	KRH42484				
OG0020486	KRH43339				
OG0020487	KRH46757				
OG0020488	KRH46677				
