Groupe	taille moy du groupe (ac.a)	taille moy LJ	taille moy GM	taille moy LA	taille moy MT	taille moy PV
OG0000000	66.17178770949721	91.46153846153847	90.0	0	64.62704309063894	78.5
OG0000001	445.7896341463415	280.76363636363635	579.4606060606061	275.2	128.6875	364.7241379310345
OG0000002	245.55369127516778	297.2105263157895	333.65686274509807	141.33333333333334	172.67763157894737	392.3333333333333
OG0000003	216.61148648648648	190.70642201834863	174.23809523809524	0	232.57432432432432	291.6666666666667
OG0000004	892.2619926199262	665.3157894736842	880.4166666666666	468.0	980.2740740740741	1013.8888888888889
OG0000005	791.7509727626459	469.3030303030303	871.9715639810427	308.0	316.1818181818182	221.0
OG0000006	89.90666666666667	89.26666666666667	89.43564356435644	91.5	90.32352941176471	91.36363636363636
OG0000007	110.41232227488152	80.14285714285714	108.65517241379311	91.0	133.48809523809524	128.4
OG0000008	153.15238095238095	99.6	134.8653846153846	0	162.03973509933775	91.5
OG0000009	257.1666666666667	213.0	285.03053435114504	115.57142857142857	217.49122807017545	0
OG0000010	129.66666666666666	73.3	108.12121212121212	51.0	150.98333333333332	102.95833333333333
OG0000011	334.8477157360406	287.2857142857143	196.33333333333334	0	333.6832298136646	440.125
OG0000012	684.7925531914893	483.4054054054054	712.5909090909091	804.4	739.1527777777778	742.0
OG0000013	409.9244186046512	369.85714285714283	432.6521739130435	471.7142857142857	429.59722222222223	431.7142857142857
OG0000014	896.6	837.0	889.5	1241.0	967.375	893.5075757575758
OG0000015	449.95862068965516	349.80555555555554	494.68817204301075	328.3333333333333	128.85714285714286	793.0
OG0000016	102.70833333333333	98.5	103.8	0	102.7925925925926	0
OG0000017	754.85	80.5	721.9787234042553	1510.1333333333334	587.12	0
OG0000018	365.57142857142856	221.63333333333333	144.5	144.33333333333334	443.3636363636364	418.08045977011494
OG0000019	77.18796992481202	111.5	73.0	60.0	76.3015873015873	0
OG0000020	109.14503816793894	87.5	91.66666666666667	61.0	110.66666666666667	0
OG0000021	443.74045801526717	267.0	237.0	264.0	451.015873015873	0
OG0000022	1172.03125	831.3333333333334	1104.2424242424242	1023.25	1232.710843373494	935.6
OG0000023	1362.03125	1164.7894736842106	1387.7058823529412	1407.7777777777778	1405.162162162162	1391.9310344827586
OG0000024	282.9920634920635	198.12	204.0	203.0	309.55670103092785	66.0
OG0000025	850.047619047619	821.95	924.2727272727273	323.0	971.8684210526316	744.4545454545455
OG0000026	271.592	317.5531914893617	236.0	50.0	260.1578947368421	120.0
OG0000027	181.2741935483871	191.56521739130434	169.6829268292683	354.5	131.9090909090909	143.0
OG0000028	280.6803278688525	259.9078947368421	389.0	86.0	314.3333333333333	424.0
OG0000029	168.525	84.0	194.27272727272728	72.5	185.49425287356323	114.75
OG0000030	100.65833333333333	86.0	70.66666666666667	0	101.53097345132744	136.0
OG0000031	285.37719298245617	262.5272727272727	599.6363636363636	145.0	157.95454545454547	322.2083333333333
OG0000032	431.2654867256637	136.1875	589.3698630136986	0	147.08333333333334	0
OG0000033	617.3428571428572	177.75	656.5104166666666	0	217.0	0
OG0000034	704.8932038834952	609.75	651.7857142857143	921.5	747.9	652.4285714285714
OG0000035	770.4	596.7894736842105	280.25	57.0	836.5862068965517	888.9444444444445
OG0000036	255.2828282828283	0	176.33333333333334	191.0	296.2112676056338	142.52380952380952
OG0000037	165.14141414141415	165.2941176470588	75.33333333333333	230.2	165.46478873239437	138.0
OG0000038	95.05050505050505	95.19354838709677	66.0	130.0	90.25	0
OG0000039	305.4329896907216	279.14285714285717	291.61538461538464	263.5	316.1896551724138	369.3333333333333
OG0000040	106.79166666666667	0	117.0	0	106.43617021276596	130.0
OG0000041	170.52083333333334	78.75	0	0	174.5108695652174	0
OG0000042	641.0526315789474	594.1875	726.5689655172414	130.75	142.0	773.5
OG0000043	481.93617021276594	467.05555555555554	502.8	469.3333333333333	471.5	498.6818181818182
OG0000044	219.4835164835165	215.6451612903226	150.66666666666666	89.0	259.73333333333335	244.85714285714286
OG0000045	255.26666666666668	108.42857142857143	115.33333333333333	0	273.3625	0
OG0000046	227.07777777777778	57.0	141.0909090909091	130.66666666666666	163.58823529411765	269.91379310344826
OG0000047	155.61111111111111	173.0	96.0	288.3333333333333	149.44827586206895	94.0
OG0000048	1404.5955056179776	757.9230769230769	1744.5925925925926	1927.75	1570.9375	1584.5625
OG0000049	311.23595505617976	106.66666666666667	572.5714285714286	0	343.8253968253968	111.0
OG0000050	136.23863636363637	143.0	0	0	136.16091954022988	0
OG0000051	777.9885057471264	525.9090909090909	812.05	859.5714285714286	811.925925925926	805.4545454545455
OG0000052	1010.0116279069767	930.8823529411765	1024.0	1092.0	998.7222222222222	1033.1176470588234
OG0000053	1217.164705882353	242.5	1415.5	1504.111111111111	1092.9444444444443	1114.75
OG0000054	95.44705882352942	119.5	88.0	0	95.125	0
OG0000055	1878.7738095238096	864.8	1942.5438596491229	1972.5	1876.625	1984.1666666666667
OG0000056	116.79761904761905	116.33333333333333	121.75	0	115.9245283018868	118.19047619047619
OG0000057	449.9404761904762	387.75	475.625	457.0	511.0740740740741	425.5769230769231
OG0000058	752.8214285714286	456.9375	761.0769230769231	0	941.9375	690.8695652173913
OG0000059	314.2439024390244	328.44117647058823	214.28571428571428	249.0	262.8	371.0
OG0000060	724.8641975308642	613.0	791.1	488.0	739.6764705882352	667.875
OG0000061	308.358024691358	195.66666666666666	303.6	128.25	0	336.26984126984127
OG0000062	220.725	237.47619047619048	181.1764705882353	176.66666666666666	226.33333333333334	0
OG0000063	445.7721518987342	158.0	481.48571428571427	248.0	0	0
OG0000064	167.51898734177215	102.11111111111111	142.0	112.5	178.87878787878788	0
OG0000065	999.5897435897435	683.7142857142857	91.0	0	1047.3030303030303	992.25
OG0000066	184.80519480519482	97.4	197.57142857142858	0	138.66666666666666	146.66666666666666
OG0000067	110.37662337662337	35.0	96.26829268292683	0	126.47058823529412	217.0
OG0000068	253.64935064935065	151.875	75.0	0	304.0576923076923	0
OG0000069	93.55844155844156	168.0	0	0	89.47945205479452	0
OG0000070	255.23684210526315	116.57142857142857	85.5	0	265.90909090909093	861.0
OG0000071	523.7763157894736	385.0	593.5	548.4285714285714	544.04	594.0
OG0000072	212.56	119.66666666666667	286.72093023255815	0	109.26666666666667	89.5
